publication_id,entity_text,entity_type,confidence,source
32068553.0,Adjuvant Chemotherapy Necessary for Obstructing Stage II Colon Cancer? Results From a Propensity Score Analysis of the French Surgical Association Database,FUL,1.0,statistical
32068553.0,0.0116].<h4,COM,1.0,statistical
32070994.0,PPINs,COM,1.0,statistical
32070994.0,FuSim-II,COM,1.0,statistical
32070994.0,PPIN,COM,1.0,statistical
32522965.0,OMV,COM,1.0,statistical
32522965.0,GFPmut2,COM,1.0,statistical
32557399.0,CRCD,COM,1.0,statistical
32740859.0,Perspectives of Healthcare Providers,FUL,1.0,statistical
32769481.0,rs4129267,COM,1.0,statistical
32813662.0,Promise of Clinical Decision Support Systems Targetting Low-Resource Settings,FUL,1.0,statistical
32877338.0,Functional Genomics Platform,FUL,1.0,statistical
32877338.0,KEGG,COM,1.0,ruler
32877338.0,MetaCyc,COM,1.0,ruler
32877338.0,Reactome,COM,1.0,ruler
32877338.0,Functional Genomics Platform maps all of the many-to-many connections between each biological entity including the originating genome,FUL,1.0,statistical
33074888.0,Online Esodata Database,FUL,1.0,statistical
33145715.0,Microwell Platform for Cardiomyocyte Differentiation of Human Pluripotent Stem Cells,FUL,1.0,statistical
33226952.0,aWCluster,COM,1.0,statistical
33226952.0,The Cancer Genome Atlas,FUL,1.0,ruler
33237866.0,SEDA,COM,1.0,statistical
33237866.0,https://github.com/sing-group/seda,COM,1.0,statistical
33278336.0,Children With Enthesitis-Related Arthritis and Possible Benefits From Treatments for Adults With Spondyloarthritis,FUL,1.0,statistical
33306472.0,Neural Network and Random Forest Models in Protein Function Prediction,FUL,1.0,statistical
33306472.0,Swiss-Prot database,FUL,1.0,statistical
33306472.0,CAFA3,COM,1.0,statistical
33382660.0,miRCoop,COM,1.0,statistical
33382660.0,https://github.com/guldenolgun/miRCoop,COM,1.0,statistical
33483737.0,LDL-C,COM,1.0,statistical
33753610.0,PVTT,COM,1.0,statistical
33753610.0,BCLC - B,COM,1.0,statistical
33753610.0,PVTT.<h4,COM,1.0,statistical
33753610.0,BCLC-B,COM,1.0,statistical
33798067.0,JRDB,COM,1.0,statistical
33798067.0,A Dataset and Benchmark of Egocentric Robot Visual Perception of Humans in Built Environments,FUL,1.0,statistical
33798067.0,RGB,COM,1.0,statistical
33798067.0,RGB-D,COM,1.0,statistical
33818268.0,DMARD,COM,1.0,statistical
33818268.0,Japan College of Rheumatology or institutions where board-certified rheumatologists were employed.<h4>Results</h4,FUL,1.0,statistical
33818268.0,NDB,COM,1.0,ruler
34014053.0,bDMARD,COM,1.0,statistical
34014053.0,TReasure,COM,1.0,ruler
34082437.0,Rectal Cancer With Multimodal Chemoradiation Beyond the,FUL,1.0,statistical
34082437.0,Standard Radiation Dose of 5040 cGy,FUL,1.0,statistical
34082437.0,ANTECEDENTES,COM,1.0,statistical
34082437.0,OBJETIVOS,COM,1.0,statistical
34082437.0,MEDIDA,COM,1.0,statistical
