pmid,title,has_resource_url,resource_url
"24163257, 30335138, 25939429, 27899677, 28365740",The mouse Gene Expression Database (GXD): 2014 update.,True,http://www.informatics.jax.org/expression.shtml
"21063943, 23203882, 22040741, 22434838, 25904633, 26527722, 30395289","PRIDE and ""Database on Demand"" as valuable tools for computational proteomics.",True,http://www.ebi.ac.uk/pride
"22075990, 25348401, 30407599, 33231642, 27899570, 29092072",The Mouse Genome Database (MGD): comprehensive resource for genetics and genomics of the laboratory mouse.,True,http://www.informatics.jax.org
"27261064, 27987171, 29069403",A Collection of Conserved Noncoding Sequences to Study Gene Regulation in Flowering Plants.,True,http://bioinformatics.psb.ugent.be/plaza/versions/plaza_v3_dicots/
"22103613, 29474005, 23824865, 34387941",From pharmacogenomic knowledge acquisition to clinical applications: the PharmGKB as a clinical pharmacogenomic biomarker resource.,True,http://www.pharmgkb.org
"23180793, 25048120, 25414341, 26826444, 29858800, 31641782, 31667505, 27899604",IPD--the Immuno Polymorphism Database.,True,http://www.ebi.ac.uk/ipd/
"25542617, 26919060","Mitochondrial Disease Sequence Data Resource (MSeqDR): a global grass-roots consortium to facilitate deposition, curation, annotation, and integrated analysis of genomic data for the mitochondrial disease clinical and research communities.",True,https://mseqdr.org
"24931982, 25428361",GRASP: analysis of genotype-phenotype results from 1390 genome-wide association studies and corresponding open access database.,True,http://apps.nhlbi.nih.gov/grasp
"26432828, 26519406, 30407532","MaizeGDB update: new tools, data and interface for the maize model organism database.",True,http://www.maizegdb.org
"26527727, 26980513, 26990993, 29126249, 31713622",ENCODE data at the ENCODE portal.,True,http://www.encodeproject.org
"26673716, 33125078, 30357350",The Pfam protein families database: towards a more sustainable future.,True,http://pfam.xfam.org
"21447597, 22102590, 23161681, 24253303, 27899622, 30395287, 33237286, 25348405, 26519399, 28025334",UniProt Knowledgebase: a hub of integrated protein data.,True,http://www.uniprot.org/
"22064855, 27899612",YMDB: the Yeast Metabolome Database.,True,http://www.ymdb.ca
