pmid,title,has_resource_url,resource_url
27750378,"PopHR: a knowledge-based platform to support integration, analysis, and visualization of population health data.",False,
31225863,Sequencing data discovery with MetaSeek.,True,https://www.metaseek.cloud/
26072472,MSProGene: integrative proteogenomics beyond six-frames and single nucleotide polymorphisms.,False,
34581565,Rapid Automated Annotation and Analysis of N-Glycan Mass Spectrometry Imaging Data Sets Using NGlycDB in METASPACE.,False,
28172359,CIIPro: a new read-across portal to fill data gaps using public large-scale chemical and biological data.,False,
29954834,UMATracker: an intuitive image-based tracking platform.,False,
34806976,A 3D adult zebrafish brain atlas (AZBA) for the digital age.,False,
34928054,LINT-Web: A Web-Based Lipidomic Data Mining Tool Using Intra-Omic Integrative Correlation Strategy.,True,http://www.lintwebomics.info/
31373611,circMeta: a unified computational framework for genomic feature annotation and differential expression analysis of circular RNAs.,False,
31461459,Neural computational model GrowthEstimate: A model for studying living resources through digestive efficiency.,False,
24345673,BOLDSync: a MATLAB-based toolbox for synchronized stimulus presentation in functional MRI.,False,
30388204,SJARACNe: a scalable software tool for gene network reverse engineering from big data.,False,
21666259,PAComplex: a web server to infer peptide antigen families and binding models from TCR-pMHC complexes.,True,http://PAcomplex.life.nctu.edu.tw
33351756,Diagnostic Regions Attention Network (DRA-Net) for Histopathology WSI Recommendation and Retrieval.,False,
30652574,"TQuest, A Web-Based Platform to Enable Precision Medicine by Linking a Tumor's Genetic Defects to Therapeutic Options.",True,http://www.tquest.us
32091584,DL4papers: a deep learning approach for the automatic interpretation of scientific articles.,True,http://sinc.unl.edu.ar/web-demo/dl4papers/
30561550,lordFAST: sensitive and Fast Alignment Search Tool for LOng noisy Read sequencing Data.,False,
24709941,TraV: a genome context sensitive transcriptome browser.,True,http://appmibio.uni-goettingen.de/index.php?sec=serv
24788790,"ModuleRole: a tool for modulization, role determination and visualization in protein-protein interaction networks.",True,http://www.bioinfo.org/modulerole/index.php
23203888,Interferome v2.0: an updated database of annotated interferon-regulated genes.,True,http://interferome.its.monash.edu.au/interferome/
33175872,High density genotype storage for plant breeding in the Chado schema of Breedbase.,True,https://breedbase.org/
31100074,"coreMRI: A high-performance, publicly available MR simulation platform on the cloud.",True,https://www.coreMRI.org
22927906,Genometa--a fast and accurate classifier for short metagenomic shotgun reads.,True,http://genomics1.mh-hannover.de/genometa/
33205230,Celebrating INVAM: 35 years of the largest living culture collection of arbuscular mycorrhizal fungi.,False,
33363710,FangNet: Mining herb hidden knowledge from TCM clinical effective formulas using structure network algorithm.,True,http://fangnet.org
32324845,alona: a web server for single-cell RNA-seq analysis.,True,https://alona.panglaodb.se
28062447,Cross-React: a new structural bioinformatics method for predicting allergen cross-reactivity.,True,http://curie.utmb.edu/Cross-React.html
33334310,Menoci: lightweight extensible web portal enhancing data management for biomedical research projects.,False,
24825613,SIBIS: a Bayesian model for inconsistent protein sequence estimation.,True,http://www.lbgi.fr/∼julie/SIBIS
23511729,pepgrep: A tool for peptide MS/MS pattern matching.,True,http://bsproteomics.essex.ac.uk:8080/data/download/pepgrep-1.4.tgz
29244010,RocSampler: regularizing overlapping protein complexes in protein-protein interaction networks.,True,http://imi.kyushu-u.ac.jp/~om/software/RocSampler/
31562102,CORAL: Verification-Aware OpenCL Based Read Mapper for Heterogeneous Systems.,False,
34020551,TERL: classification of transposable elements by convolutional neural networks.,False,
27620863,CellTree: an R/bioconductor package to infer the hierarchical structure of cell populations from single-cell RNA-seq data.,True,http://bioconductor.org/packages/cellTree/
24475049,istar: a web platform for large-scale protein-ligand docking.,True,http://istar.cse.cuhk.edu.hk/idock
22285560,"vHOG, a multispecies vertebrate ontology of homologous organs groups.",True,http://bgee.unil.ch/
24907353,miRror-Suite: decoding coordinated regulation by microRNAs.,True,http://www.mirrorsuite.cs.huji.ac.il
23630321,The RNAsnp web server: predicting SNP effects on local RNA secondary structure.,True,http://rth.dk/resources/rnasnp/
28008948,Lotus Base: An integrated information portal for the model legume Lotus japonicus.,True,https://lotus.au.dk
30886627,DMfold: A Novel Method to Predict RNA Secondary Structure With Pseudoknots Based on Deep Learning and Improved Base Pair Maximization Principle.,False,
26708333,simDEF: definition-based semantic similarity measure of gene ontology terms for functional similarity analysis of genes.,True,http://kiwi.cs.dal.ca/Software/simDEF
23311574,MAPI: a software framework for distributed biomedical applications.,True,http://www.bitlab-es.com/mapi
34944842,Mapping the Melanoma Plasma Proteome (MPP) Using Single-Shot Proteomics Interfaced with the WiMT Database.,False,
28079128,Parallel-META 3: Comprehensive taxonomical and functional analysis platform for efficient comparison of microbial communities.,True,http://bioinfo.single-cell.cn/parallel-meta.html
31307061,PRSice-2: Polygenic Risk Score software for biobank-scale data.,True,http://PRSice.info
25881165,SNPchiMp v.3: integrating and standardizing single nucleotide polymorphism data for livestock species.,True,http://bioinformatics.tecnoparco.org/SNPchimp
31028635,"Seq-Well: A Sample-Efficient, Portable Picowell Platform for Massively Parallel Single-Cell RNA Sequencing.",False,
27153588,Ferret: a user-friendly Java tool to extract data from the 1000 Genomes Project.,True,http://limousophie35.github.io/Ferret/
24495746,DRUMS: Disk Repository with Update Management and Select option for high throughput sequencing data.,False,
25887597,ColoWeb: a resource for analysis of colocalization of genomic features.,True,http://projects.insilico.us.com/ColoWeb
24955134,iDrug: a web-accessible and interactive drug discovery and design platform.,True,http://lilab.ecust.edu.cn/idrug
22002696,Pathos: a web facility that uses metabolic maps to display experimental changes in metabolites identified by mass spectrometry.,True,http://motif.gla.ac.uk/Pathos/
29262775,ShinyGPAS: interactive genomic prediction accuracy simulator based on deterministic formulas.,True,https://chikudaisei.shinyapps.io/shinygpas/
22892045,Web-based GIS: the vector-borne disease airline importation risk (VBD-AIR) tool.,True,http://www.vbd-air.com
24370496,PARAMO: a PARAllel predictive MOdeling platform for healthcare analytic research using electronic health records.,False,
29329398,LeNup: learning nucleosome positioning from DNA sequences with improved convolutional neural networks.,False,
26054769,STITCHER: A web resource for high-throughput design of primers for overlapping PCR applications.,True,http://ohalloranlab.net/STITCHER.html
27436110,PETModule: a motif module based approach for enhancer target gene prediction.,True,http://hulab.ucf.edu/research/projects/PETModule/
22800180,AMDA 2.13: A major update for automated cross-platform microarray data analysis.,False,
30824909,DECO: decompose heterogeneous population cohorts for patient stratification and discovery of sample biomarkers using omic data profiling.,True,http://bioconductor.org/packages/deco/
31147687,Path2Surv: Pathway/gene set-based survival analysis using multiple kernel learning.,False,
31566222,GWAS Atlas: a curated resource of genome-wide variant-trait associations in plants and animals.,True,https://bigd.big.ac.cn/gwas/
33978743,InterEvDock3: a combined template-based and free docking server with increased performance through explicit modeling of complex homologs and integration of covariation-based contact maps.,True,http://bioserv.rpbs.univ-paris-diderot.fr/services/InterEvDock3/
