url,pmid,primary_entity_long,primary_entity_short,source_file,domain,sample_priority,very_high_conf,db_keyword_found,title_matches_primary,is_live,status_code,total_score,likelihood,indicators_found,title_indicators,content_indicators,url_indicators,critical_count,high_count,medium_count,low_count,lowest_count,response_time_ms,content_length_bytes,error_message,scanned_at
http://g2im.u-clermont1.fr/phylopdb/,24771669,phylopdb,,baseline_pmid,g2im.u-clermont1.fr,very_high_conf,True,True,True,False,403.0,0,VERY LOW,,,,,0,0,0,0,0,258.23,,HTTP 403,2025-11-19T11:14:38.114885
http://bioservices.hs-mittweida.de/Epros/,23161695,,epros,baseline_pmid,bioservices.hs-mittweida.de,db_keyword,False,True,False,False,,0,VERY LOW,,,,,0,0,0,0,0,,,Connection Error: HTTPConnectionPool(host='bioservices.hs-mittweida.,2025-11-19T11:14:38.374327
http://www.tsrbase.org,33068436,tsrbase,,baseline_pmid,www.tsrbase.org,very_high_conf,True,True,True,False,,0,VERY LOW,,,,,0,0,0,0,0,,,"Connection Error: HTTPConnectionPool(host='www.tsrbase.org', port=80",2025-11-19T11:14:38.107210
http://african-compounds.org/nanpdb/,28641017,,nanpdb,baseline_pmid,african-compounds.org,very_high_conf,True,True,True,False,404.0,0,VERY LOW,,,,,0,0,0,0,0,666.51,,HTTP 404,2025-11-19T11:14:38.110240
http://www.dsimb.inserm.fr/dsimb_tools/PTM-SD/,24857970,,ptm-sd,baseline_pmid,www.dsimb.inserm.fr,db_keyword,True,True,True,True,200.0,0,VERY LOW,,,,,0,0,0,0,0,353.63,330.0,,2025-11-19T11:14:38.429326
http://histone.sce.ntu.edu.sg/SynLethDB/,26516187,synlethdb,,baseline_pmid,histone.sce.ntu.edu.sg,very_high_conf,True,True,True,False,,0,VERY LOW,,,,,0,0,0,0,0,,,"Connection Error: HTTPConnectionPool(host='histone.sce.ntu.edu.sg', ",2025-11-19T11:14:38.119944
https://www.machado.cnptia.embrapa.br/plantannot,33546584,plant co-expression annotation resource,,baseline_pmid,www.machado.cnptia.embrapa.br,very_high_conf,True,True,True,False,503.0,0,VERY LOW,,,,,0,0,0,0,0,1017.31,,HTTP 503,2025-11-19T11:14:38.109939
http://ekpd.biocuckoo.org,24214991,,ekpd,baseline_pmid,ekpd.biocuckoo.org,db_keyword,True,True,True,True,200.0,0,VERY LOW,,,,,0,0,0,0,0,409.44,211.0,,2025-11-19T11:14:38.806690
http://www.genomernai.org,23193271,genomernai,,baseline_pmid,www.genomernai.org,db_keyword,True,True,True,True,200.0,5,MEDIUM,Identifier; Curation,,Identifier; Curation,,0,0,1,1,0,145.36,8909.0,,2025-11-19T11:14:39.130796
http://www.rna-society.org/rnainter/,31906603,rnainter,,baseline_pmid,www.rna-society.org,db_keyword,False,True,False,True,200.0,4,LOW,NCBI,,NCBI,,0,1,0,0,0,518.02,5200.0,,2025-11-19T11:14:38.776897
