url,pmid,primary_entity_long,primary_entity_short,is_gcbr,publication_id,title,domain,source_file
https://bar.utoronto.ca/,39441075,Bio-Analytic Resource for Plant Biology,BAR,1,8157,20 years of the Bio-Analytic Resource for Plant Biology.,bar.utoronto.ca,gbc_publication_analysis
https://www.clinicalgenome.org/,39404758,Clinical Genome Resource,ClinGen,1,8163,The Clinical Genome Resource (ClinGen): Advancing genomic knowledge through global curation.,www.clinicalgenome.org,gbc_publication_analysis
http://bio.liclab.net/SCInter/index.php,38125297,comprehensive Single-Cell transcriptome integration database for human and mouse,SCInter,0,4182,SCInter: A comprehensive single-cell transcriptome integration database for human and mouse.,bio.liclab.net,gbc_publication_analysis
http://www.cellknowledge.com.cn/p450rdb,37871773,,P450Rdb,0,7357,P450Rdb: A manually curated database of reactions catalyzed by cytochrome P450 enzymes.,www.cellknowledge.com.cn,gbc_publication_analysis
http://tinyurl.com/4este73c,37566336,The Children's Picture Books Lexicon,CPB-LEX,0,6856,The Children's Picture Books Lexicon (CPB-LEX): A large-scale lexical database from children's picture books.,tinyurl.com,gbc_publication_analysis
http://120.55.161.230:88,38161244,,BioKinVis,0,3964,Unveiling facial kinship: The BioKinVis dataset for facial kinship verification and genetic association studies.,120.55.161.230:88,gbc_publication_analysis
http://www.biosino.org/nafldkb,37167092,,NAFLDkb,0,7076,NAFLDkb: A Knowledge Base and Platform for Drug Development against Nonalcoholic Fatty Liver Disease.,www.biosino.org,gbc_publication_analysis
http://doi.org/10.34894/V0HBJ8,37876351,,ADEPT,0,4857,A database for MR-based electrical properties tomography with in silico brain data-ADEPT.,doi.org,gbc_publication_analysis
http://expression.plant.tools,38050352,Plant Expression Omnibus,PEO,0,5108,PEO: Plant Expression Omnibus - a comparative transcriptomic database for 103 Archaeplastida.,expression.plant.tools,gbc_publication_analysis
http://acds.neist.res.in/cadv2,37789571,Cation-Aromatic Database,CAD,0,3959,Analyzing the cation-aromatic interactions in proteins: Cation-aromatic database V2.0.,acds.neist.res.in,gbc_publication_analysis
http://allium.qau.edu.cn,38371639,,AlliumDB,0,3965,AlliumDB: a central portal for comparative and functional genomics in <i>Allium</i>.,allium.qau.edu.cn,gbc_publication_analysis
http://biotreasury.rjmart.cn,38157107,,BioTreasury,0,4393,BioTreasury: a community-based repository enabling indexing and rating of bioinformatics tools.,biotreasury.rjmart.cn,gbc_publication_analysis
http://cb.imsc.res.in/vicekb,38160837,Vitiligo-linked Chemical Exposome Knowledgebase,ViCEKb,0,4619,ViCEKb: Vitiligo-linked Chemical Exposome Knowledgebase.,cb.imsc.res.in,gbc_publication_analysis
http://geotbi.org,37747225,Global Epidemiology and Outcomes following Traumatic Brain Injury,GEO-TBI,0,5315,"Consensus-Based Development of a Global Registry for Traumatic Brain Injury: Establishment, Protocol, and Implementation.",geotbi.org,gbc_publication_analysis
http://idrblab.org/rvvictor,38157777,,RVvictor,0,5319,RVvictor: Virus RNA-directed molecular interactions for RNA virus infection.,idrblab.org,gbc_publication_analysis
http://nscc.v.zzu.edu.cn/hccTAAb,38156953,,hccTAAb,0,6176,hccTAAb Atlas: An Integrated Knowledge Database for Tumor-Associated Autoantibodies in Hepatocellular Carcinoma.,nscc.v.zzu.edu.cn,gbc_publication_analysis
http://www.learn2read.cn/ccloow,36881355,Chinese Children's Lexicon of Oral Words,CCLOOW,0,7612,CCLOOW: Chinese children's lexicon of oral words.,www.learn2read.cn,gbc_publication_analysis
