url,pmid,primary_entity_long,primary_entity_short,source_file,domain,sample_priority,very_high_conf,db_keyword_found,title_matches_primary
http://mips.helmholtz-muenchen.de/phenodis/,29370821,phenodis,,baseline_pmid,mips.helmholtz-muenchen.de,very_high_conf,True,True,True
http://www.tsrbase.org,33068436,tsrbase,,baseline_pmid,www.tsrbase.org,very_high_conf,True,True,True
http://gcgene.bioinfo-minzhao.org/,27127885,,gcgene,baseline_pmid,gcgene.bioinfo-minzhao.org,very_high_conf,True,True,True
https://www.machado.cnptia.embrapa.br/plantannot,33546584,plant co-expression annotation resource,,baseline_pmid,www.machado.cnptia.embrapa.br,very_high_conf,True,True,True
http://african-compounds.org/nanpdb/,28641017,,nanpdb,baseline_pmid,african-compounds.org,very_high_conf,True,True,True
http://g2im.u-clermont1.fr/phylopdb/,24771669,phylopdb,,baseline_pmid,g2im.u-clermont1.fr,very_high_conf,True,True,True
https://webapp.ufz.de/tmdb,31728526,terrestrialmetagenomedb,,baseline_pmid,webapp.ufz.de,very_high_conf,True,True,True
http://histone.sce.ntu.edu.sg/SynLethDB/,26516187,synlethdb,,baseline_pmid,histone.sce.ntu.edu.sg,very_high_conf,True,True,True
http://www.MuteinDB.org,22730453,muteindb,,baseline_pmid,www.MuteinDB.org,very_high_conf,True,True,True
http://mtibase.sysu.edu.cn,26490638,mtibase,,baseline_pmid,mtibase.sysu.edu.cn,very_high_conf,True,True,True
http://bioservices.hs-mittweida.de/Epros/,23161695,,epros,baseline_pmid,bioservices.hs-mittweida.de,db_keyword,False,True,False
http://www.dsimb.inserm.fr/dsimb_tools/PTM-SD/,24857970,,ptm-sd,baseline_pmid,www.dsimb.inserm.fr,db_keyword,True,True,True
http://14.139.229.199/PpTFDB/Home.aspx,28651001,,pptfdb,baseline_pmid,14.139.229.199,db_keyword,True,True,True
http://www.rna-society.org/rnainter/,31906603,rnainter,,baseline_pmid,www.rna-society.org,db_keyword,False,True,False
https://www.pggpopulation.org,29112749,pgg.population,,baseline_pmid,www.pggpopulation.org,db_keyword,True,True,True
http://ekpd.biocuckoo.org,24214991,,ekpd,baseline_pmid,ekpd.biocuckoo.org,db_keyword,True,True,True
http://www.genomernai.org,23193271,genomernai,,baseline_pmid,www.genomernai.org,db_keyword,True,True,True
http://sugarbind.expasy.org,26578555,sugarbinddb,,baseline_pmid,sugarbind.expasy.org,random,False,True,False
http://www.mitotox.org,34266386,mitotox,,baseline_pmid,www.mitotox.org,random,True,True,True
https://www.flyrnai.org/tools/single_cell/web/,33995899,,drscdb,baseline_pmid,www.flyrnai.org,random,True,True,True
http://uucd.biocuckoo.org,23172288,,uucd,baseline_pmid,uucd.biocuckoo.org,random,True,True,True
http://renaldb.uni-frankfurt.de,28011754,renaldb,,baseline_pmid,renaldb.uni-frankfurt.de,random,False,False,False
http://konulab.fen.bilkent.edu.tr/mirna/,21177657,,mesadb,baseline_pmid,konulab.fen.bilkent.edu.tr,random,True,True,True
http://webofmicrobes.org,30208844,,wom,baseline_pmid,webofmicrobes.org,random,False,True,False
https://pimbase.kalis-amts.de,30147056,pimbase,,baseline_pmid,pimbase.kalis-amts.de,random,False,False,False
http://hamdb.scbdd.com,30066211,,hamdb,baseline_entity,hamdb.scbdd.com,very_high_conf,True,True,True
http://dbsecsys.bhsai.org,27650316,dbsecsys,,baseline_entity,dbsecsys.bhsai.org,very_high_conf,True,True,True
http://www.caspur.it/mitozoa,22123747,mitozoa,,baseline_entity,www.caspur.it,very_high_conf,True,True,True
http://www.crisprlnc.org,30285246,crisprlnc,,baseline_entity,www.crisprlnc.org,very_high_conf,True,True,True
http://bioinfo.usu.edu/alfanet/,34361108,alfanet,,baseline_entity,bioinfo.usu.edu,very_high_conf,True,True,True
http://magen.whu.edu.cn,31665439,magendb,,baseline_entity,magen.whu.edu.cn,very_high_conf,True,True,True
http://cib.cf.ocha.ac.jp/slc/,29892515,imusta4slc,,baseline_entity,cib.cf.ocha.ac.jp,very_high_conf,True,True,True
http://mirandb.ir,28049134,mirandb,,baseline_entity,mirandb.ir,very_high_conf,True,True,True
http://thairicestarch.kku.ac.th,33258964,,thrsdb,baseline_entity,thairicestarch.kku.ac.th,very_high_conf,True,True,True
http://rfam.xfam.org,25392425,,rfam,baseline_entity,rfam.xfam.org,very_high_conf,True,True,True
http://www.ebi.ac.uk/gxa,26481351,expression atlas,,baseline_entity,www.ebi.ac.uk,db_keyword,False,True,False
http://www.cemtdd.com/index.html,25970778,,cemtdd,baseline_entity,www.cemtdd.com,db_keyword,True,True,True
http://kimosys.org,25115331,kimosys,,baseline_entity,kimosys.org,db_keyword,True,True,True
http://www.ncbi.nlm.nih.gov/geo/,23193258,,geo,baseline_entity,www.ncbi.nlm.nih.gov,db_keyword,False,True,False
http://crdd.osdd.net/raghava/cppsite/,22403286,cppsite,,baseline_entity,crdd.osdd.net,db_keyword,True,True,True
http://songyanglab.sysu.edu.cn/telopin/,25792605,telopin,,baseline_entity,songyanglab.sysu.edu.cn,db_keyword,True,True,True
https://card.mcmaster.ca,31665441,,card,baseline_entity,card.mcmaster.ca,db_keyword,True,True,True
