url,pmid,primary_entity_long,primary_entity_short,domain,source_file,sample_priority,title,db_keyword_found,very_high_conf,article_count,is_live,status_code,total_score,base_score,title_bonus,likelihood,indicators_found,response_time_ms,error_message,meta_redirects,final_url
http://csdb.glycoscience.ru,"24680503, 25753703, 26337239",carbohydrate structure database,,csdb.glycoscience.ru,linguistic_high_conf_dedup_full,high_conf_full,Expansion of coverage of Carbohydrate Structure Database (CSDB).,True,False,3,True,200.0,8,8,0,MEDIUM,Content: molecular; Content: search; Content: data; Content: database,262.42,,0,http://csdb.glycoscience.ru/
http://www.ebi.ac.uk/ena/,"23203883, 24214989, 27899630, 31722421",european nucleotide archive,,www.ebi.ac.uk,linguistic_high_conf_dedup_full,high_conf_full,Facing growth in the European Nucleotide Archive.,True,False,4,True,200.0,21,21,0,CRITICAL,Content: EBI; Content: gene; Content: archive; Content: resource; Content: platform; Content: query; Title: browse; Content: data; Content: portal,333.83,,0,https://www.ebi.ac.uk/ena/browser/
http://www.oxfordjournals.org/nar/database/c/,"24316579, 26740669, 29316735, 30626175, 31906604, 33396976",,s,www.oxfordjournals.org,linguistic_high_conf_dedup_full,high_conf_full,The 2014 Nucleic Acids Research Database Issue and an updated NAR online Molecular Biology Database Collection.,True,False,6,True,200.0,40,35,5,CRITICAL,Content: genomics; Content: proteomics; Content: genome; Content: gene; Content: protein; Content: sequence; Content: molecular; Content: expression; Content: collection; Content: resource; Content: search; Content: query; Title: data; Title: database; ★ TITLE BONUS: 'database' in page title,360.62,,0,https://www.oxfordjournals.org:443/nar/database/c/
http://biit.cs.ut.ee/gprofiler/,"21646343, 27098042",g:profiler,,biit.cs.ut.ee,linguistic_high_conf_dedup_full,high_conf_full,g:Profiler--a web server for functional interpretation of gene lists (2011 update).,True,False,2,True,200.0,11,6,5,HIGH,Title: gene; Content: data; Title: server; ★ TITLE BONUS: 'server' in page title,186.03,,0,http://biit.cs.ut.ee/gprofiler/
http://www.ncbi.nlm.nih.gov,"22140104, 25398906, 26615191, 29140470, 33095870",mendelian inheritance in,,www.ncbi.nlm.nih.gov,linguistic_high_conf_dedup_full,high_conf_full,Database resources of the National Center for Biotechnology Information.,True,False,5,True,200.0,45,45,0,CRITICAL,Content: NCBI; Content: NIH; Content: genome; Content: gene; Content: protein; Content: sequence; Content: expression; Content: collection; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: data; Content: database; Content: portal,700.39,,0,https://www.ncbi.nlm.nih.gov/
http://ctdbase.org/,"23221299, 27171405, 34458863",comparative toxicogenomics database,,ctdbase.org,linguistic_high_conf_dedup_full,high_conf_full,Targeted journal curation as a method to improve data currency at the Comparative Toxicogenomics Database.,True,False,3,True,200.0,8,8,0,MEDIUM,Content: search; Content: browse; Content: submit; Content: data,829.57,,0,https://ctdbase.org/
http://www.informatics.jax.org,"23175610, 24285300",mouse genome database,,www.informatics.jax.org,linguistic_high_conf_dedup_full,high_conf_full,"The mouse genome database: genotypes, phenotypes, and models of human disease.",True,True,2,True,200.0,66,61,5,CRITICAL,Content: NCBI; Content: NIH; Content: Ensembl; Content: genomics; Title: genome; Content: gene; Content: protein; Content: sequence; Content: biological; Content: mutation; Content: expression; Content: collection; Title: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: annotation; Title: data; Title: database; Content: portal; ★ TITLE BONUS: 'database' in page title,870.37,,0,https://www.informatics.jax.org/
http://www.candidagenome.org/,"22064862, 24185697",candida genome database,,www.candidagenome.org,linguistic_high_conf_dedup_full,high_conf_full,The Candida genome database incorporates multiple Candida species: multispecies search and analysis tools with curated gene and protein information for Candida albicans and Candida glabrata.,True,False,2,True,200.0,55,50,5,CRITICAL,Content: NCBI; Content: NIH; Content: genomics; Content: proteomics; Title: genome; Content: gene; Content: protein; Content: sequence; Content: archive; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: annotation; Title: data; Title: database; Content: server; ★ TITLE BONUS: 'database' in page title,643.33,,0,http://www.candidagenome.org/
http://genomics.senescence.info,"23193293, 29121237",human ageing genomic resources,,genomics.senescence.info,linguistic_high_conf_dedup_full,high_conf_full,Human Ageing Genomic Resources: integrated databases and tools for the biology and genetics of ageing.,True,True,2,True,200.0,58,53,5,CRITICAL,Content: genomics; Content: bioinformatics; Content: genome; Content: gene; Content: molecular; Content: biological; Content: variant; Content: mutation; Content: expression; Content: collection; Title: resource; Content: tool; Content: platform; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: curated; Content: annotation; Content: data; Content: database; Content: portal; ★ TITLE BONUS: 'resource' in page title,1009.54,,0,https://genomics.senescence.info/
https://phenome.jax.org,"29136208, 31696236",mouse phenome database,,phenome.jax.org,linguistic_high_conf_dedup_full,high_conf_full,Mouse Phenome Database: an integrative database and analysis suite for curated empirical phenotype data from laboratory mice.,True,True,2,True,200.0,50,45,5,CRITICAL,Content: EBI; Content: genomics; Content: genome; Content: gene; Content: protein; Content: molecular; Content: mutation; Content: expression; Content: archive; Content: collection; Content: resource; Content: tool; Content: search; Content: query; Content: download; Content: submit; Title: data; Title: database; ★ TITLE BONUS: 'database' in page title,1320.81,,0,https://phenome.jax.org/
http://www.hgmd.org,"24077912, 28349240",human gene mutation database,,www.hgmd.org,linguistic_high_conf_dedup_full,high_conf_full,"The Human Gene Mutation Database: building a comprehensive mutation repository for clinical and molecular genetics, diagnostic testing and personalized genomic medicine.",True,True,2,True,200.0,14,14,0,HIGH,Content: EBI; Content: gene; Content: search; Content: browse; Content: data,949.63,,0,https://hgmd.org/
http://cgma.scu.edu.cn/CTLPScanner/,"27185889, 29564830",ctlpscanner,,cgma.scu.edu.cn,linguistic_high_conf_dedup_full,high_conf_full,CTLPScanner: a web server for chromothripsis-like pattern detection.,True,True,2,False,,0,0,0,VERY LOW,,,"Error: HTTPConnectionPool(host='cgma.scu.edu.cn', port=80): Max retries exceeded with url: /CTLPScanner/ (C",0,http://cgma.scu.edu.cn/CTLPScanner/
