url,pmid,primary_entity_long,primary_entity_short,is_gcbr,publication_id,title,domain,source_file,is_live,status_code,total_score,base_score,title_bonus,likelihood,indicators_found,response_time_ms,error_message,meta_redirects,final_url
http://expression.plant.tools,38050352,Plant Expression Omnibus,PEO,0,5108,PEO: Plant Expression Omnibus - a comparative transcriptomic database for 103 Archaeplastida.,expression.plant.tools,gbc_publication_analysis,True,200.0,27,27,0,CRITICAL,Title: gene; Content: protein; Content: sequence; Content: biological; Title: expression; Content: resource; Content: tool; Content: search; Content: query; Content: submit; Content: data,656.0,,0,https://peo.ku.dk/
https://bar.utoronto.ca/,39441075,Bio-Analytic Resource for Plant Biology,BAR,1,8157,20 years of the Bio-Analytic Resource for Plant Biology.,bar.utoronto.ca,gbc_publication_analysis,True,200.0,38,33,5,CRITICAL,Content: UniProt; Content: genomics; Content: proteomics; Content: bioinformatics; Content: gene; Content: protein; Content: expression; Title: tool; Content: search; Content: query; Content: browse; Title: data; ★ TITLE BONUS: 'tool' in page title,647.52,,0,https://bar.utoronto.ca/
http://doi.org/10.34894/V0HBJ8,37876351,,ADEPT,0,4857,A database for MR-based electrical properties tomography with in silico brain data-ADEPT.,doi.org,gbc_publication_analysis,True,200.0,43,38,5,CRITICAL,Content: EBI; Content: data access; Content: programmatic access; Content: gene; Content: repository; Content: collection; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Title: data; Title: database; Content: server; ★ TITLE BONUS: 'database' in page title,1372.82,,0,https://dataverse.nl/dataset.xhtml?persistentId=doi:10.34894/V0HBJ8
http://cb.imsc.res.in/vicekb,38160837,Vitiligo-linked Chemical Exposome Knowledgebase,ViCEKb,0,4619,ViCEKb: Vitiligo-linked Chemical Exposome Knowledgebase.,cb.imsc.res.in,gbc_publication_analysis,False,403.0,0,0,0,VERY LOW,,104.71,HTTP 403,0,http://cb.imsc.res.in/vicekb
http://acds.neist.res.in/cadv2,37789571,Cation-Aromatic Database,CAD,0,3959,Analyzing the cation-aromatic interactions in proteins: Cation-aromatic database V2.0.,acds.neist.res.in,gbc_publication_analysis,True,200.0,19,19,0,CRITICAL,Content: bioinformatics; Content: protein; Content: repository; Content: search; Content: query; Content: download; Content: submit; Content: data; Content: database,1681.04,,0,http://acds.neist.res.in/cadv2/
https://www.clinicalgenome.org/,39404758,Clinical Genome Resource,ClinGen,1,8163,The Clinical Genome Resource (ClinGen): Advancing genomic knowledge through global curation.,www.clinicalgenome.org,gbc_publication_analysis,True,200.0,50,50,0,CRITICAL,Content: NIH; Content: data access; Content: genomics; Content: genome; Content: gene; Content: sequence; Content: variant; Content: mutation; Content: resource; Content: tool; Content: platform; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: curated; Content: annotation; Content: data; Content: database,1909.53,,0,https://www.clinicalgenome.org/
http://biotreasury.rjmart.cn,38157107,,BioTreasury,0,4393,BioTreasury: a community-based repository enabling indexing and rating of bioinformatics tools.,biotreasury.rjmart.cn,gbc_publication_analysis,True,200.0,20,15,5,CRITICAL,Title: bioinformatics; Content: biological; Content: resource; Title: tool; Content: search; Content: data; Content: database; ★ TITLE BONUS: 'tool' in page title,1708.73,,0,https://biotreasury.rjmart.cn/
http://www.cellknowledge.com.cn/p450rdb,37871773,,P450Rdb,0,7357,P450Rdb: A manually curated database of reactions catalyzed by cytochrome P450 enzymes.,www.cellknowledge.com.cn,gbc_publication_analysis,True,200.0,38,38,0,CRITICAL,Content: NCBI; Content: NIH; Content: bioinformatics; Content: gene; Content: biological; Content: resource; Content: platform; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: curated; Content: data; Content: database,2590.91,,0,https://www.cellknowledge.com.cn/p450rdb/
http://www.biosino.org/nafldkb,37167092,,NAFLDkb,0,7076,NAFLDkb: A Knowledge Base and Platform for Drug Development against Nonalcoholic Fatty Liver Disease.,www.biosino.org,gbc_publication_analysis,True,200.0,23,23,0,CRITICAL,Content: gene; Content: collection; Content: tool; Title: platform; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: annotation; Content: data,2651.37,,0,https://www.biosino.org/nafldkb/
http://allium.qau.edu.cn,38371639,,AlliumDB,0,3965,AlliumDB: a central portal for comparative and functional genomics in <i>Allium</i>.,allium.qau.edu.cn,gbc_publication_analysis,True,200.0,40,40,0,CRITICAL,Content: genomics; Content: bioinformatics; Content: genome; Content: gene; Content: protein; Content: sequence; Content: molecular; Content: expression; Content: resource; Content: tool; Content: search; Content: browse; Content: download; Content: annotation; Content: data; Content: database; Content: portal,2437.69,,0,https://allium.qau.edu.cn/
http://www.redhdatabase.com,37386732,,REDH,0,8047,REDH: A database of RNA editome in hematopoietic differentiation and malignancy.,www.redhdatabase.com,gbc_publication_analysis,True,200.0,26,21,5,CRITICAL,Content: genome; Content: gene; Content: sequence; Content: molecular; Content: search; Content: query; Content: curated; Title: data; Title: database; ★ TITLE BONUS: 'database' in page title,965.12,,0,http://www.redhdatabase.com/
http://autophagynet.org.abbreviations,37589496,Regulatory Network,AutophagyNet,0,3958,AutophagyNet: high-resolution data source for the analysis of autophagy and its regulation.,autophagynet.org.abbreviations,gbc_publication_analysis,False,,0,0,0,VERY LOW,,,"Error: HTTPConnectionPool(host='autophagynet.org.abbreviations', port=80): Max retries exceeded with url: /",0,http://autophagynet.org.abbreviations
http://bio.liclab.net/SCInter/index.php,38125297,comprehensive Single-Cell transcriptome integration database for human and mouse,SCInter,0,4182,SCInter: A comprehensive single-cell transcriptome integration database for human and mouse.,bio.liclab.net,gbc_publication_analysis,False,468.0,0,0,0,VERY LOW,,3742.74,HTTP 468,0,http://www.licpathway.net/SCInter/index.php
http://www.ncawdb.net,38142743,non-coding variant annotation database,NCAD,0,7872,NCAD v1.0: a database for non-coding variant annotation and interpretation.,www.ncawdb.net,gbc_publication_analysis,True,200.0,0,0,0,VERY LOW,,1394.81,,0,http://www.ncawdb.net/
http://www.learn2read.cn/ccloow,36881355,Chinese Children's Lexicon of Oral Words,CCLOOW,0,7612,CCLOOW: Chinese children's lexicon of oral words.,www.learn2read.cn,gbc_publication_analysis,False,,0,0,0,VERY LOW,,,"Error: HTTPSConnectionPool(host='learn2read.cn', port=443): Max retries exceeded with url: /ccloow (Caused ",0,http://www.learn2read.cn/ccloow
http://protein-redox-potential.web.app,37596815,,ProtReDox,0,6405,The energetics and evolution of oxidoreductases in deep time.,protein-redox-potential.web.app,gbc_publication_analysis,True,200.0,0,0,0,VERY LOW,,247.47,,0,https://protein-redox-potential.web.app/
https://www.lipidmaps.org,37855672,,LIPID MAPS,1,8173,LIPID MAPS: update to databases and tools for the lipidomics community.,www.lipidmaps.org,gbc_publication_analysis,True,200.0,29,29,0,CRITICAL,Content: EBI; Content: bioinformatics; Content: archive; Content: resource; Content: tool; Content: platform; Content: search; Content: query; Content: browse; Content: download; Content: curated; Content: data; Content: database,401.18,,0,https://www.lipidmaps.org/
https://www.oncokb.org,37849038,Oncology Knowledge Base,OncoKB,0,1340241,Quantifying the Expanding Landscape of Clinical Actionability for Patients with Cancer.,www.oncokb.org,gbc_publication_analysis,True,200.0,12,12,0,HIGH,Content: data access; Content: biological; Content: browse; Content: data; Content: server,390.98,,0,https://www.oncokb.org/
http://geotbi.org,37747225,Global Epidemiology and Outcomes following Traumatic Brain Injury,GEO-TBI,0,5315,"Consensus-Based Development of a Global Registry for Traumatic Brain Injury: Establishment, Protocol, and Implementation.",geotbi.org,gbc_publication_analysis,True,200.0,24,24,0,CRITICAL,Content: NIH; Content: gene; Content: archive; Content: collection; Content: resource; Content: platform; Content: search; Content: query; Content: submit; Content: data,3098.98,,0,https://geotbi.org/
http://idppub.ptmax.org,37993103,Illuminating the Dark Phosphoproteome,IDPpub,0,5318,IDPpub: Illuminating the Dark Phosphoproteome Through PubMed Mining.,idppub.ptmax.org,gbc_publication_analysis,True,200.0,17,17,0,CRITICAL,Content: proteomics; Content: gene; Content: molecular; Content: search; Content: query; Content: download; Content: data,1371.74,,0,https://idppub.ptmax.org/
http://acds.neist.res.in/a2idv2,37797858,Aromatic-Aromatic Interactions Database,A2ID,0,3960,Analyzing the aromatic-aromatic interactions in proteins: A<sup>2</sup>ID 2.0.,acds.neist.res.in,gbc_publication_analysis,True,200.0,22,22,0,CRITICAL,Content: gene; Content: protein; Content: biological; Content: repository; Content: search; Content: query; Content: download; Content: submit; Content: data; Content: database,941.93,,0,http://acds.neist.res.in/a2idv2/
http://cailab.labshare.cn/SingleScan,38062357,,SingleScan,0,4392,SingleScan: a comprehensive resource for single-cell sequencing data processing and mining.,cailab.labshare.cn,gbc_publication_analysis,False,,0,0,0,VERY LOW,,,"Error: HTTPConnectionPool(host='cailab.labshare.cn', port=7003): Max retries exceeded with url: / (Caused b",0,http://cailab.labshare.cn/SingleScan
http://idrblab.org/rvvictor,38157777,,RVvictor,0,5319,RVvictor: Virus RNA-directed molecular interactions for RNA virus infection.,idrblab.org,gbc_publication_analysis,True,200.0,34,34,0,CRITICAL,Content: bioinformatics; Content: genome; Content: gene; Content: protein; Title: molecular; Content: resource; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: annotation; Content: data; Content: web service,4062.85,,1,http://rvvictor.idrblab.net
http://bioinfo.uth.edu/degronmd,37992195,,DegronMD,0,4391,"DegronMD: Leveraging Evolutionary and Structural Features for Deciphering Protein-Targeted Degradation, Mutations, and Drug Response to Degrons.",bioinfo.uth.edu,gbc_publication_analysis,True,200.0,31,31,0,CRITICAL,Content: UniProt; Content: genomics; Content: protein; Content: mutation; Content: tool; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: curated; Content: data; Content: database,1428.69,,0,https://bioinfo.uth.edu/degronmd/
http://drugcentral.org,37707619,,DrugCentral,0,5103,Exploring DrugCentral: from molecular structures to clinical effects.,drugcentral.org,gbc_publication_analysis,True,200.0,38,38,0,CRITICAL,Content: EBI; Content: NIH; Content: UniProt; Content: genome; Content: gene; Content: resource; Content: search; Content: query; Content: browse; Content: download; Content: submit; Content: annotation; Content: data; Content: database,895.28,,0,https://drugcentral.org/
