original_record_num,record_index,database_name,long_database_name,pmids,found_urls,url_source,match_quality,notes
3618,1339,,i-phaos,39460195,NOT_FOUND,not_available,,No URLs found in abstracts
3619,1340,,opendatapsy,37203516,NOT_FOUND,not_available,,No URLs found in abstracts
3620,1341,gabi-i,,36576353,NOT_FOUND,not_available,,No URLs found in abstracts
3621,1342,,argetgene,38050974,NOT_FOUND,not_available,,No URLs found in abstracts
3622,1343,,plant ploidy database,37337836,NOT_FOUND,not_available,,No URLs found in abstracts
3623,1344,,oatomics,39780493,NOT_FOUND,not_available,,No URLs found in abstracts
3626,1345,metlin-ccs,,37932399,NOT_FOUND,not_available,,No URLs found in abstracts
3628,1347,,sex-chrom,36725728,NOT_FOUND,not_available,,No URLs found in abstracts
3632,1350,,ocean genome legacy,35108094,NOT_FOUND,not_available,,No URLs found in abstracts
3633,1351,,deep-saga,35650384,NOT_FOUND,not_available,,No URLs found in abstracts
3634,1352,,avmpnp database,39546588,NOT_FOUND,not_available,,No URLs found in abstracts
3640,1358,,bifloraexplorer,37646939,NOT_FOUND,not_available,,No URLs found in abstracts
3641,1359,,drosophila resource,37480566,NOT_FOUND,not_available,,No URLs found in abstracts
3647,1364,,saliva omics database,38450904,NOT_FOUND,not_available,,No URLs found in abstracts
3651,1367,,observed t cell receptor space,39216000,NOT_FOUND,not_available,,No URLs found in abstracts
3653,1368,,methane potential database,38013033,NOT_FOUND,not_available,,No URLs found in abstracts
3654,1369,kryptonite,,38968127,NOT_FOUND,not_available,,No URLs found in abstracts
3655,1370,,hyperspectral image database,36959253,NOT_FOUND,not_available,,No URLs found in abstracts
3658,1373,,consortium,35862536,NOT_FOUND,not_available,,No URLs found in abstracts
3662,1377,,wildsoydb datahub,36063461,NOT_FOUND,not_available,,No URLs found in abstracts
3667,1382,,psychoactive,40487401,NOT_FOUND,not_available,,No URLs found in abstracts
3668,1383,,nibs data,39986376,NOT_FOUND,not_available,,No URLs found in abstracts
3675,1389,,circulatory,37167657,NOT_FOUND,not_available,,No URLs found in abstracts
3676,1390,cesium,,36640942,NOT_FOUND,not_available,,No URLs found in abstracts
3679,1392,b,,38155573,NOT_FOUND,not_available,,No URLs found in abstracts
3680,1393,,yoga dataset,37383745,NOT_FOUND,not_available,,No URLs found in abstracts
3683,1394,dda,detection of mutant peptides of sars-cov-2 variants by lc/ms in the,37093804,NOT_FOUND,not_available,,No URLs found in abstracts
3684,1395,,university of north carolina cancer survivorship cohort,39240227,NOT_FOUND,not_available,,No URLs found in abstracts
3685,1396,,crowd-5e | a croatian psycholinguistic database of affective norms for five discrete emotions,36307625,NOT_FOUND,not_available,,No URLs found in abstracts
3686,1397,,pearl-neuro,38453963,NOT_FOUND,not_available,,No URLs found in abstracts
3687,1398,report,,38191934,NOT_FOUND,not_available,,No URLs found in abstracts
3688,1399,,covid19db,37503835,NOT_FOUND,not_available,,No URLs found in abstracts
3690,1401,,block copolymer phase behavior database,39126359,NOT_FOUND,not_available,,No URLs found in abstracts
3691,1402,,complete genome sequences of,36537804,NOT_FOUND,not_available,,No URLs found in abstracts
3698,1405,,gene expression database,35359334,NOT_FOUND,not_available,,No URLs found in abstracts
3699,1406,,genome sequence resource of,35130035,NOT_FOUND,not_available,,No URLs found in abstracts
3700,1407,,malignant portal vein thrombosis with no obvious liver parenchymal mass on fluorodeoxyglucose positron emission tomography/computed tomography,38390545,NOT_FOUND,not_available,,No URLs found in abstracts
3708,1412,,supercapacitor materials database generated using web scrapping and natural language processing,39965271,NOT_FOUND,not_available,,No URLs found in abstracts
3709,1413,,scepitools,37769837,NOT_FOUND,not_available,,No URLs found in abstracts
3710,1414,,esktides,38720552,NOT_FOUND,not_available,,No URLs found in abstracts
3712,1416,,endurance time during constant work rate cycle ergometry in copd,36066494,NOT_FOUND,not_available,,No URLs found in abstracts
3713,1417,,brain data initiatives in universiti sains malaysia,37344699,NOT_FOUND,not_available,,No URLs found in abstracts
3718,1421,,complete genome sequence resource of,36444142,NOT_FOUND,not_available,,No URLs found in abstracts
3725,1427,,hepatocellular carcinoma with portal vein tumor thrombus patients treated with transarterial chemoembolization plus molecular targeted therapies,38508935,NOT_FOUND,not_available,,No URLs found in abstracts
3726,1428,,adiposetissue.org,39983713,NOT_FOUND,not_available,,No URLs found in abstracts
3730,1432,pugtdb,,36609142,NOT_FOUND,not_available,,No URLs found in abstracts
3732,1434,,madagascar terrestrial camera survey database,35315058,NOT_FOUND,not_available,,No URLs found in abstracts
3736,1437,,dinosource | a comprehensive database of dinoflagellate genomic resources,40214971,NOT_FOUND,not_available,,No URLs found in abstracts
3738,1438,,mitigating winner-take-all resource competition through antithetic control mechanism,39641579,NOT_FOUND,not_available,,No URLs found in abstracts
3742,1442,,treatment patterns in women age 80 and over with dcis,35595612,NOT_FOUND,not_available,,No URLs found in abstracts
3747,1447,development,,36005997,NOT_FOUND,not_available,,No URLs found in abstracts
3751,1448,,lessons learned establishing the palliative care research cooperative's qualitative data repository,38825257,NOT_FOUND,not_available,,No URLs found in abstracts
3753,1449,,global impact of covid-19 vaccines,37367491,NOT_FOUND,not_available,,No URLs found in abstracts
3759,1453,,fibroblast-activation protein pet and histopathology,36581374,NOT_FOUND,not_available,,No URLs found in abstracts
3760,1454,,database-driven spatially resolved lipidomics highlights heterogeneous metabolic alterations in type 2 diabetic mice,38088904,NOT_FOUND,not_available,,No URLs found in abstracts
3768,1459,,hybrid spectral library and protein sequence database search strategy for bottom-up and top-down proteomic data analysis,36206157,NOT_FOUND,not_available,,No URLs found in abstracts
3769,1460,,standard for artificial intelligence benchmarking,40154847,NOT_FOUND,not_available,,No URLs found in abstracts
3774,1464,,protein secondary structure patterns in short-range cross-link atlas,40433759,NOT_FOUND,not_available,,No URLs found in abstracts
3780,1467,,bamboobase | a comprehensive database of bamboo omics and systematics,38419327,NOT_FOUND,not_available,,No URLs found in abstracts
3781,1468,,dirac electronic behavior database of under-stress transition metal dichalcogenides for broad applications,39763119,NOT_FOUND,not_available,,No URLs found in abstracts
