ID,best_name,extracted_url,url_validation,extracted_url_status
35134830,vivarium,https://vivarium-collective.github.io,review,200
37846051,SEMLA,https://ludvigla.github.io/semla/,review,200
35199148,localpdb,https://labstructbioinf.github.io/localpdb/,review,200
38411627,plantfun,https://rocesv.github.io/PlantFUNCO,review,200
36991341,elltrackvis,http://scbeom.github.io/ctv_tutorial,review,200
39794695,enchamrking,https://erasmusmc-bioinformatics.github.io/benchAMRking/,review,200
34415321,AMMA,https://bioconda.github.io/recipes/gamma/README.html,review,200
39921902,cobrexa 2,https://cobrexa.github.io/COBREXA.jl/,review,200
39875867,marigold,https://downeslab.github.io/marigold/,review,200
38412834,decomprolute,http://pnnl-compbio.github.io/decomprolute,review,200
36707995,gmwi-w,https://gmwi-webtool.github.io/,review,200
34983060,edtator,https://ohnlp.github.io/MedTator,review,200
39959838,catalog (tianzelab),https://tianzelab.github.io/pandaspgs/,review,200
35900159,PLCO (episphere),https://episphere.github.io/plco,review,200
37646935,ltr retrotransposon reference,https://inpactordb.github.io,review,200
37624922,ep2,https://mildpiggy.github.io/DEP2/,review,200
39862439,hemascope,https://zhenyiwangthu.github.io/HemaScope_Tutorial/,review,200
37093842,mtsviewer,https://neurobioinfo.github.io/MTSvieweR/,review,200
38519883,hihisiv,https://hihisiv.github.io,review,200
38814806,BNGL,https://bnglviz.github.io/,review,200
39126203,SODCOD,https://fujisawagroup.github.io/SoDCoDweb/,review,200
36947346,quantimage,https://medgift.github.io/quantimage-v2-info/,review,200
37851409,mosaicatcher,https://snakemake.github.io/snakemake-workflow-catalog/?usage=friendsofstrandseq/mosaicatcher-pipeline,review,200
38181047,sc2menetdrug,https://fuhaililab.github.io/sc2MeNetDrug/,review,200
39985446,spectropiper,https://stemicha.github.io/SpectroPipeR/,review,200
39117342,spatialctd,https://omicsml.github.io/SpatialCTD/,review,200
34546290,atpdock,https://jun-csbio.github.io/atpdock/,review,200
38889117,camanim,https://omni-ml.github.io/pytorch-grad-cam-anim/,review,200
37925080,RPM,https://ranczlab.github.io/RPM/,review,200
38860571,makesbml,https://sys-bio.github.io/makesbml/,review,200
38860632,EXMOVE,https://exmove.github.io/,review,200
37042467,nbthermo,https://valdes-tresanco-ms.github.io/NbThermo,review,200
38632050,GAUSS,https://statsleelab.github.io/gauss/,review,200
36847334,proteinfer,https://google-research.github.io/proteinfer/,review,200
37440307,CRACT,https://clinicaltrials.gov/ct2/show/NCT04994093,review,200
34762062,global covid-19 virus registry database,https://clinicaltrials.gov/ct2/show/NCT04323787,review,200
35305080,oct mice eye,https://mip2019.github.io/spsvm,review,200
39158353,CTCAE,https://clinicaltrials.gov/study/NCT01042379,review,200
