original_record_num,database_name,long_database_name,found_urls,url_source,match_quality,notes
531,TBD,Tartary buckwheat database,http://www.mbkbase.org/TBD/,web_search,HIGH,
532,AtIPD,AtIPD,NOT_FOUND,web_search,,Ambiguous/Acronym
533,gndDb,gndDb,NOT_FOUND,web_search,,Ambiguous/Acronym
534,Sex-chrom,Sex-chrom,NOT_FOUND,web_search,,Ambiguous/Acronym
537,DoCM,DoCM,http://docm.genome.wustl.edu/,web_search,HIGH,Database of Curated Mutations
538,MGFD,MGFD,NOT_FOUND,web_search,,Ambiguous/Acronym
539,DADP,DADP,NOT_FOUND,web_search,,Ambiguous/Acronym
540,Cancer GAMAdb,Cancer GAMAdb,http://www.cng.bionet.nsc.ru/gama/,web_search,HIGH,
541,FPbase,FPbase,https://www.fpbase.org/,web_search,HIGH,
542,ARIES,ARIES,NOT_FOUND,web_search,,Ambiguous/Acronym
543,HMOD,HMOD,NOT_FOUND,web_search,,Ambiguous/Acronym
544,CLO-PLA,CLO-PLA,http://clopla.butbn.cas.cz/,web_search,HIGH,Clonal Plant Database
545,EAHAD factor VII variant database,EAHAD factor VII variant database,https://f7-db.eahad.org/,web_search,HIGH,
546,HEpD,HEpD,NOT_FOUND,web_search,,Ambiguous/Acronym
547,IMGT/3Dstructure-DB,IMGT/3Dstructure-DB,http://www.imgt.org/3Dstructure-DB/,web_search,HIGH,
548,InsectChange,InsectChange,https://doi.org/10.1002/ecy.3354,web_search,HIGH,Dataset from paper
551,ChlamBase,ChlamBase,http://chlambase.org/,web_search,HIGH,
552,RIBOi,RIBOi,NOT_FOUND,web_search,,Ambiguous/Acronym
553,FlowRepository,FlowRepository,https://flowrepository.org/,web_search,HIGH,
554,VirusMap,Influenza A Virus Visualization Database,http://virusmap.whu.edu.cn,web_search,HIGH,
555,Stroke Neuro-Imaging Phenotype Repository,Stroke Neuro-Imaging Phenotype Repository,NOT_FOUND,web_search,,Specific URL not clear, possibly internal
556,FP-ADMET,Fingerprint-based ADMET Compendium,https://gitlab.com/vishweshvenkatraman/FP-ADMET,web_search,HIGH,GitLab (Software/Models)
558,Multiple Sclerosis Surveillance Registry,Multiple Sclerosis Surveillance Registry,https://www.va.gov/MS/Registries.asp,web_search,HIGH,VA
559,IsAProteinDB,Indexed Database of Trypsinized Proteins,NOT_FOUND,web_search,,Publication based
560,ForCenS,Foraminifera Census Database,https://doi.org/10.1594/PANGAEA.873570,web_search,HIGH,PANGAEA
561,FragSAD,Fragment Species Abundance Database,https://doi.org/10.5061/dryad.1626q20,web_search,HIGH,Dryad
562,GID,Generalized Invariom Database,NOT_FOUND,web_search,,Ambiguous/Acronym
563,GreenCut2,GreenCut2 Protein Inventory,NOT_FOUND,web_search,,List/Inventory from paper
564,Diphones-fr,French Diphone Database,http://www.lexique.org/databases/Diphones-fr/,web_search,HIGH,
565,PeptideTracker,PeptideTracker Knowledge Base,https://peptidetracker.org,web_search,HIGH,
567,B-chrom,B-chromosome Database,http://www.bchrom.csic.es,web_search,HIGH,
569,LORIS MyeliNeuroGene,MyeliNeuroGene Rare Disease Database,https://myelineurogene.com,web_search,HIGH,
570,Tolerome,E. coli Tolerance Database,http://parts.colorado.edu/tolerome,web_search,HIGH,
571,Structure-Function Linkage Database,Structure-Function Linkage Database,http://sfld.rbvi.ucsf.edu/,web_search,HIGH,
572,Chlamydomonas Genome Resource,Chlamydomonas Genome Resource,https://phytozome-next.jgi.doe.gov/,web_search,HIGH,Phytozome
573,Chloroplast Genomic Resource of Paris,Paris Chloroplast Genomic Resource,NOT_FOUND,web_search,,Sequence data (GenBank)
575,ASGCT landscape reports,ASGCT Landscape Reports,https://asgct.org/global/landscape-reports,web_search,HIGH,
577,MIAS,Brussels Mood Inductive Audio Stories Database,NOT_FOUND,web_search,,Request based
