extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_url,baseline_url,extracted_domain,baseline_domain,edit_distance
POGs,pogs2,"SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00",Y,6.5,"Score=6.5: SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00",http://pogs.uoregon.edu/,http://pogs.uoregon.edu,uoregon.edu,uoregon.edu,1.0
sRNAdb,5srnadb,"digit_only_diff, edit_dist=1, contains",Y,3.5,"Score=3.5: digit_only_diff, edit_dist=1, contains",,http://combio.pl/5srnadb,,combio.pl,1.0
SCOP2,scop,"SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=0.98, long_sim=0.88",Y,7.0,"Score=7.0: SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=0.98, long_sim=0.88",http://scop2.mrc-lmb.cam.ac.uk/,http://scop.mrc-lmb.cam.ac.uk,ac.uk,ac.uk,1.0
LAMP2,lamp,"digit_only_diff, edit_dist=1, contains",Y,3.5,"Score=3.5: digit_only_diff, edit_dist=1, contains",,http://biotechlab.fudan.edu.cn/database/lamp,,edu.cn,1.0
WormQTL2,wormqtl,"digit_only_diff, edit_dist=1, contains",Y,3.5,"Score=3.5: digit_only_diff, edit_dist=1, contains",http://www.bioinformatics.nl/WormQTL2/,"http://www.wormqtl.org, http://www.rqtl.org",bioinformatics.nl,"wormqtl.org, http:",1.0
AREsite,aresite2,"SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00",Y,6.5,"Score=6.5: SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00",http://rna.tbi.univie.ac.at/AREsite,http://rna.tbi.univie.ac.at/AREsite,ac.at,ac.at,1.0
ReCount,recount3,"digit_only_diff, edit_dist=1, contains",Y,3.5,"Score=3.5: digit_only_diff, edit_dist=1, contains",,http://rna.recount.bio,,recount.bio,1.0
SUBA,suba3,"SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00, long_sim=0.96",Y,7.0,"Score=7.0: SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00, long_sim=0.96",http://suba.plantenergy.uwa.edu.au,http://suba.plantenergy.uwa.edu.au,edu.au,edu.au,1.0
proGenomes,progenomes2,"SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00",Y,6.5,"Score=6.5: SAME_DOMAIN, digit_only_diff, edit_dist=1, contains, url_path_sim=1.00",http://progenomes.embl.de/,http://progenomes.embl.de,embl.de,embl.de,1.0
ZINC20,zinc,"digit_only_diff, edit_dist=2, contains",Y,3.0,"Score=3.0: digit_only_diff, edit_dist=2, contains",zinc20.docking.org,"http://research.nhgri.nih.gov/ZInC/, http://zfin.org",docking.org,nih.gov,2.0
