pmid,title,has_fulltext,fulltext_length,urls_count
"""27261064"," 27987171, 29069403"",A Collection of Conserved Noncoding Sequences to Study Gene Regulation in Flowering Plants.",False,0,0
"""23193264"," 24259429, 29688360, 23193287, 25414350, 33196830"",Database resources of the National Center for Biotechnology Information.",False,0,0
"""22075998"," 23193274, 23448259"",ENCODE whole-genome data in the UCSC Genome Browser: update 2012.",False,0,0
"""27794045"," 33211864, 30407557"",Update of the FANTOM web resource: high resolution transcriptome of diverse cell types in mammals.",False,0,0
"""22086951"," 23155063, 25428374, 26590259, 24227676, 26740527, 29106570, 30407534, 31691824"",The UCSC Genome Browser database: extensions and updates 2011.",False,0,0
"""24265223"," 24318814"",EMAGE mouse embryo spatial gene expression database: 2014 update.",False,0,0
"""21752111"," 33146890, 22688270"",The Human Protein Atlas as a proteomic resource for biomarker discovery.",False,0,0
"""27153631"," 29186503"",MINTbase: a framework for the interactive exploration of mitochondrial and nuclear tRNA fragments.",False,0,0
"""22737589"," 27899561, 30395293, 31602479, 24393765, 25398906, 26615191, 29140470, 33095870"",Fungal genome resources at NCBI.",False,0,0
"""24243843"," 25636622, 33095861"",""DEG 10, an update of the database of essential genes that includes both protein-coding genes and noncoding genomic elements.""",False,0,0
"""29023571"," 33367505"",PICKLE 2.0: A human protein-protein interaction meta-database employing data integration via genetic information ontology.",False,0,0
"""23321019"," 28857516"",Modeling of non-additive mixture properties using the Online CHEmical database and Modeling environment (OCHEM).",False,0,0
"""31239187"," 33129577"",pHLA3D: An online database of predicted three-dimensional structures of HLA molecules.",False,0,0
"""30052798"," 30052798"",zfRegeneration: a database for gene expression profiling during regeneration.",False,0,0
"""25378316"," 30196491"",""IMGT®, the international ImMunoGeneTics information system® 25 years on.""",False,0,0
"""21948793"," 26578601, 29140520"",Therapeutic target database update 2012: a resource for facilitating target-oriented drug discovery.",False,0,0
"""31372645"," 31372645"",Malaria.tools-comparative genomic and transcriptomic database for Plasmodium species.",False,0,0
"""22908213"," 33221922"",The UCSC genome browser and associated tools.",False,0,0
"""24271396"," 30976793"",The European Bioinformatics Institute's data resources 2014.",False,0,0
"""27899670"," 30445434"",The new NHGRI-EBI Catalog of published genome-wide association studies (GWAS Catalog).",False,0,0
"""25685613"," 27899642"",The UCSC Ebola Genome Portal.",False,0,0
"""24574175"," 25159016, 26227301, 25407602, 26351202"",Label-free LC-MS/MS identification of phosphatidylglycerol-regulated proteins in Synechocystis sp. PCC6803.",False,0,0
"""29067135"," 30088220"",The braingraph.org database of high resolution structural connectomes and the brain graph tools.",False,0,0
"""23161693"," 29140435"",HMDB 3.0--The Human Metabolome Database in 2013.",False,0,0
"""22013161"," 24304894, 26673713, 30496479, 33219674"",canSAR: an integrated cancer public translational research and drug discovery resource.",False,0,0
26635392,"""COMBREX-DB: an experiment centered database of protein function: knowledge, predictions and knowledge gaps.""",True,28543,0
"""29805321"," 31444973"",""The Cellosaurus, a Cell-Line Knowledge Resource.""",False,0,0
24436130,The Equine PeptideAtlas: a resource for developing proteomics-based veterinary research.,False,0,0
"""26527191"," 30358807"",Shared bioinformatics databases within the Unipro UGENE platform.",False,0,0
34663179,RR3DD: an RNA global structure-based RNA three-dimensional structural classification database.,False,0,0
"""32436344"," 33735471"",Update of the CLRP TG-43 parameter database for low-energy brachytherapy sources.",False,0,0
20857233,BrainKnowledge: a human brain function mapping knowledge-base system.,False,0,0
33972211,MDMPR: Mouse Developmental and Metabolic Phenotype Repository.,False,0,0
27111272,HomeBank: An Online Repository of Daylong Child-Centered Audio Recordings.,False,0,0
27074495,The Brain Analysis Library of Spatial maps and Atlases (BALSA) database.,False,0,0
31767692,PlantAPAdb: A Comprehensive Database for Alternative Polyadenylation Sites in Plants.,False,0,0
29603730,ForC: a global database of forest carbon stocks and fluxes.,False,0,0
"""23193261"," 25348399"",""HAMAP in 2013, new developments in the protein family classification and annotation system.""",False,0,0
29429018,MOBCdb: a comprehensive database integrating multi-omics data on breast cancer for precision medicine.,False,0,0
30786995,lnCAR: A Comprehensive Resource for lncRNAs from Cancer Arrays.,False,0,0
25319039,childLex: a lexical database of German read by children.,False,0,0
"""25352555"," 31576635"",""SASBDB, a repository for biological small-angle scattering data.""",False,0,0
30076665,The CaspBase: a curated database for evolutionary biochemical studies of caspase functional divergence and ancestral sequence inference.,False,0,0
33064305,GABC: A comprehensive resource and Genome Atlas for Breast Cancer.,False,0,0
28150243,NDEx: A Community Resource for Sharing and Publishing of Biological Networks.,False,0,0
29447345,The BioCyc collection of microbial genomes and metabolic pathways.,False,0,0
32068839,iDISK: the integrated DIetary Supplements Knowledge base.,False,0,0
23627461,MScDB: a mass spectrometry-centric protein sequence database for proteomics.,False,0,0
32910939,Spectacle: An interactive resource for ocular single-cell RNA sequencing data analysis.,False,0,0
"""23256906"," 24261964"",CAPER: a chromosome-assembled human proteome browsER.",False,0,0
29859376,MCAW-DB: A glycan profile database capturing the ambiguity of glycan recognition patterns.,False,0,0
27899574,Uniclust databases of clustered and deeply annotated protein sequences and alignments.,True,31890,0
32124319,"""The SysteMHC Atlas: a Computational Pipeline, a Website, and a Data Repository for Immunopeptidomic Analyses.""",False,0,0
30427897,Moral and Affective Film Set (MAAFS): A normed moral video database.,True,65650,0
"""31686107"," 33995478"",The ProteomeXchange consortium in 2020: enabling 'big data' approaches in proteomics.",False,0,0
24947213,DENVirDB: a web portal of dengue virus sequence information on Asian isolates.,False,0,0
30614735,HColonDB: A Database for Human Colon Cancer Research.,False,0,0
27645405,DMAK: A curated pan-cancer DNA methylation annotation knowledgebase.,True,24638,0
31836898,SGID: a comprehensive and interactive database of the silkworm.,False,0,0
33672700,PSC-db: A Structured and Searchable 3D-Database for Plant Secondary Compounds.,False,0,0
30339216,GFDP: the gene family database in poplar.,False,0,0
31848596,RHPCG: a database of the Regulation of the Hippo Pathway in Cancer Genome.,False,0,0
