pmid,title,has_url,is_false_positive,confidence,reason
26794641,A brain imaging repository of normal structural MRI across the life course: Brain Images of Normal Subjects (BRAINS).,True,N,high,Contains database/repository keyword indicating data resource
31728519,SyntDB: defining orthologues of human long noncoding RNAs across primates.,True,N,high,Contains database/repository keyword indicating data resource
32813752,SVAD: A genetic database curates non-ischemic sudden cardiac death-associated variants.,True,N,high,Contains database/repository keyword indicating data resource
"22903802, 32016318",VariBench: a benchmark database for variations.,True,N,high,Contains database/repository keyword indicating data resource
26708988,HitPredict version 4: comprehensive reliability scoring of physical protein-protein interactions from more than 100 species.,True,N,low,Has URL and biological data terms but title unclear
26073932,Pedican: an online gene resource for pediatric cancers with literature evidence.,True,N,high,Contains database/repository keyword indicating data resource
25220766,LabeledIn: cataloging labeled indications for human drugs.,True,N,high,Contains database/repository keyword indicating data resource
23203985,Dfam: a database of repetitive DNA based on profile hidden Markov models.,True,N,high,Contains database/repository keyword indicating data resource
"23066107, 26590405",TSGene: a web resource for tumor suppressor genes.,True,N,high,Contains database/repository keyword indicating data resource
29036653,miRCarta: a central repository for collecting miRNA candidates.,True,N,high,Contains database/repository keyword indicating data resource
25450223,Haemophilus influenzae Genome Database (HIGDB): a single point web resource for Haemophilus influenzae.,True,N,high,Contains database/repository keyword indicating data resource
24178034,IDEAL in 2014 illustrates interaction networks composed of intrinsically disordered proteins and their binding partners.,True,N,low,Has URL and biological data terms but title unclear
21993301,"Polbase: a repository of biochemical, genetic and structural information about DNA polymerases.",True,N,high,Contains database/repository keyword indicating data resource
"25414356, 27899674, 31777944",CDD: NCBI's conserved domain database.,True,N,high,Contains database/repository keyword indicating data resource
"23203986, 31733063",Genome3D: a UK collaborative project to annotate genomic sequences with predicted 3D structures based on SCOP and CATH domains.,True,N,low,Has URL and biological data terms but title unclear
33045741,LncSEA: a platform for long non-coding RNA related sets and enrichment analysis.,True,Y,medium,Methodology/tool paper despite having URL
26567549,GEneSTATION 1.0: a synthetic resource of diverse evolutionary and functional genomic data for studying the evolution of pregnancy-associated tissues and phenotypes.,True,N,high,Contains database/repository keyword indicating data resource
21943338,"TIGER: Toolbox for integrating genome-scale metabolic models, expression data, and transcriptional regulatory networks.",False,Y,high,No URL provided - unlikely to be a data resource
33581334,OGP: A Repository of Experimentally Characterized O-glycoproteins to Facilitate Studies on O-glycosylation.,True,N,high,Contains database/repository keyword indicating data resource
"26432830, 30398659","MitoMiner v3.1, an update on the mitochondrial proteomics database.",True,N,high,Contains database/repository keyword indicating data resource
24712981,SFGD: a comprehensive platform for mining functional information from soybean transcriptome data and its use in identifying acyl-lipid metabolism pathways.,True,Y,medium,Methodology/tool paper despite having URL
"27789701, 30272209",Updates in Rhea - an expert curated resource of biochemical reactions.,True,N,high,Contains database/repository keyword indicating data resource
29774137,Saudi anti-human cancer plants database (SACPD): A collection of plants with anti-human cancer activities.,True,N,high,Contains database/repository keyword indicating data resource
25480115,"Sinbase: an integrated database to study genomics, genetics and comparative genomics in Sesamum indicum.",True,N,high,Contains database/repository keyword indicating data resource
24323624,SABRE2: a database connecting plant EST/full-length cDNA clones with Arabidopsis information.,True,N,high,Contains database/repository keyword indicating data resource
24066126,SurvExpress: an online biomarker validation tool and database for cancer gene expression data using survival analysis.,True,N,high,Contains database/repository keyword indicating data resource
28850115,"RefEx, a reference gene expression dataset as a web tool for the functional analysis of genes.",True,Y,medium,Methodology/tool paper despite having URL
34774049,DREAM: a database of experimentally supported protein-coding RNAs and drug associations in human cancer.,True,N,high,Contains database/repository keyword indicating data resource
25614757,"WallProtDB, a database resource for plant cell wall proteomics.",True,N,high,Contains database/repository keyword indicating data resource
