pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
26430546,ICeE an interface for C. elegans experiments.,True,N,high,Software interface for experiments but described as a resource with DB suffix-like naming,ICeE,Interface for C. elegans experiments
26089836,PrOnto database : GO term functional dissimilarity inferred from biological data.,True,N,high,Title explicitly contains 'database' keyword,PrOnto,PrOnto database
33203359,FishDB: an integrated functional genomics database for fishes.,True,N,high,DB suffix + 'database' keyword,FishDB,Fish Database
22419844,NeMedPlant: a database of therapeutic applications and chemical constituents of medicinal plants from north-east region of India.,True,N,high,Title explicitly contains 'database' keyword,NeMedPlant,North-East Medicinal Plant database
34058973,GLEANER: a web server for GermLine cycle Expression ANalysis and Epigenetic Roadmap visualization.,True,Y,medium,Described as web server for analysis/visualization - methodology tool,,,
31598696,"snoDB: an interactive database of human snoRNA sequences, abundance and interactions.",False,N,high,DB suffix + 'database' keyword; URL absence doesn't override strong naming pattern,snoDB,snoRNA Database
31452162,Accessing Cryptosporidium Omic and Isolate Data via CryptoDB.org.,True,N,high,DB suffix indicates database,CryptoDB,Cryptosporidium Database
33166383,FireProtDB: database of manually curated protein stability data.,True,N,high,DB suffix + 'database' keyword,FireProtDB,Fire Protein Database
27338257,AraPPISite: a database of fine-grained protein-protein interaction site annotations for Arabidopsis thaliana.,True,N,high,Title explicitly contains 'database' keyword,AraPPISite,Arabidopsis Protein-Protein Interaction Site database
30329095,CancerSplicingQTL: a database for genome-wide identification of splicing QTLs in human cancer.,True,N,high,Title explicitly contains 'database' keyword,CancerSplicingQTL,Cancer Splicing QTL database
34016708,Analyzing the vast coronavirus literature with CoronaCentral.,True,Y,medium,Paper about analyzing literature - analysis paper not a database,,,
26876982,ChemProt-3.0: a global chemical biology diseases mapping.,True,N,medium,Version number + mapping resource suggests database,ChemProt,Chemical-Protein Interaction Database
22080506,A database of immunoglobulins with integrated tools: DIGIT.,True,N,high,Title explicitly contains 'database' keyword,DIGIT,Database of Immunoglobulins with Integrated Tools
30371849,LNCipedia 5: towards a reference set of human long non-coding RNAs.,True,N,high,pedia suffix + version number,LNCipedia,Long Non-Coding RNA encyclopedia
30215764,AWESOME: a database of SNPs that affect protein post-translational modifications.,True,N,high,Title explicitly contains 'database' keyword,AWESOME,Database of SNPs affecting post-translational modifications
28700989,DoriTool: A Bioinformatics Integrative Tool for Post-Association Functional Annotation.,True,Y,high,"Tool for annotation - pure methodology, despite having URL",,,
33010176,CancerImmunityQTL: a database to systematically evaluate the impact of genetic variants on immune infiltration in human cancer.,True,N,high,Title explicitly contains 'database' keyword,CancerImmunityQTL,Cancer Immunity QTL database
33238002,RecipeDB: a resource for exploring recipes.,True,N,high,DB suffix + 'resource' keyword,RecipeDB,Recipe Database
30239679,AgBioData consortium recommendations for sustainable genomics and genetics databases for agriculture.,True,Y,medium,Paper about recommendations for databases - not a database itself,,,
33216899,WCSdb: a database of wild Coffea species.,True,N,high,db suffix + 'database' keyword,WCSdb,Wild Coffea Species database
24259684,BrassiBase: introduction to a novel knowledge database on Brassicaceae evolution.,True,N,high,Base suffix + 'knowledge database' keyword,BrassiBase,Brassicaceae Base
25125444,LeishMicrosatDB: open source database of repeat sequences detected in six fully sequenced Leishmania genomes.,True,N,high,DB suffix + 'database' keyword,LeishMicrosatDB,Leishmania Microsatellite Database
31762961,MaizeSNPDB: A comprehensive database for efficient retrieve and analysis of SNPs among 1210 maize lines.,True,N,high,DB suffix + 'database' keyword,MaizeSNPDB,Maize SNP Database
22448897,WAVOS: a MATLAB toolkit for wavelet analysis and visualization of oscillatory systems.,False,Y,high,Toolkit for analysis/visualization - pure methodology tool without URL,,,
28150236,Bioinformatics Analysis of Protein Phosphorylation in Plant Systems Biology Using P3DB.,True,N,high,DB suffix - paper about using a database,P3DB,Plant Protein Phosphorylation Database
25432975,GenomicusPlants: a web resource to study genome evolution in flowering plants.,True,N,high,Web resource for data exploration,GenomicusPlants,Genomicus Plants
27530307,"C-DEVA: Detection, evaluation, visualization and annotation of clusters from biological networks.",False,Y,high,"Tool for detection/evaluation/visualization - methodology, no URL",,,
31555312,MaizeDIG: Maize Database of Images and Genomes.,True,N,high,Title explicitly contains 'Database' keyword,MaizeDIG,Maize Database of Images and Genomes
26255309,MetazSecKB: the human and animal secretome and subcellular proteome knowledgebase.,True,N,high,KB suffix + 'knowledgebase' keyword,MetazSecKB,Metazoan Secretome Knowledgebase
34023905,"AnnotSV and knotAnnotSV: a web server for human structural variations annotations, ranking and analysis.",True,Y,medium,Web server for annotation/analysis - tool rather than data resource,,,
26697753,DLGP: A database for lineage-conserved and lineage-specific gene pairs in animal and plant genomes.,True,N,high,Title explicitly contains 'database' keyword,DLGP,Database of Lineage-conserved Gene Pairs
27794552,LinkProt: a database collecting information about biological links.,True,N,high,Title explicitly contains 'database' keyword,LinkProt,Linking Protein database
24408216,tbvar: A comprehensive genome variation resource for Mycobacterium tuberculosis.,True,N,high,Resource for genome variation data,tbvar,Tuberculosis variation resource
24307774,DIACAN: Integrated Database for Antidiabetic and Anticancer Medicinal Plants.,True,N,high,Title explicitly contains 'Database' keyword,DIACAN,Antidiabetic and Anticancer Database
33119751,The MemMoRF database for recognizing disordered protein regions interacting with cellular membranes.,True,N,high,Title explicitly contains 'database' keyword,MemMoRF,Membrane-interacting Disordered Protein Regions database
25921073,FunRich: An open access standalone functional enrichment and interaction network analysis tool.,True,Y,high,Analysis tool - pure methodology despite having URL,,,
33247936,VarStack: a web tool for data retrieval to interpret somatic variants in cancer.,True,Y,high,Web tool for data retrieval/interpretation - methodology tool,,,
22570419,LAHEDES: the LAGLIDADG homing endonuclease database and engineering server.,True,N,high,Title explicitly contains 'database' keyword,LAHEDES,LAGLIDADG Homing Endonuclease Database
33882120,APICURON: a database to credit and acknowledge the work of biocurators.,True,N,high,Title explicitly contains 'database' keyword,APICURON,APICURON database
27560970,hEIDI: An Intuitive Application Tool To Organize and Treat Large-Scale Proteomics Data.,True,Y,high,Application tool for organizing data - methodology tool,,,
26792120,Protein Sequence Annotation Tool (PSAT): a centralized web-based meta-server for high-throughput sequence annotations.,True,Y,high,Tool/meta-server for annotation - methodology,,,
29069441,PolyA_DB 3 catalogs cleavage and polyadenylation sites identified by deep sequencing in multiple genomes.,True,N,high,DB suffix + version number,PolyA_DB,Polyadenylation Database
22067098,"ApoptoProteomics, an integrated database for analysis of proteomics data obtained from apoptotic cells.",True,N,high,Title explicitly contains 'database' keyword,ApoptoProteomics,Apoptosis Proteomics database
24008416,PAVIS: a tool for Peak Annotation and Visualization.,False,Y,high,Tool for annotation/visualization - pure methodology without URL,,,
27037912,GAMDB: a web resource to connect microRNAs with autophagy in gerontology.,True,N,high,DB suffix + 'web resource',GAMDB,Gerontology Autophagy MicroRNA Database
24341535,VTCdb: a gene co-expression database for the crop species Vitis vinifera (grapevine).,True,N,high,db suffix + 'database' keyword,VTCdb,Vitis vinifera gene Co-expression database
