pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
21778530,MADMAX - Management and analysis database for multiple ~omics experiments.,False,N,high,Contains 'database' keyword and describes data management system,MADMAX,Management and analysis database for multiple omics experiments
34663591,"SysInflam HuDB, a Web Resource for Mining Human Blood Cells Transcriptomic Data Associated with Systemic Inflammatory Responses to Sepsis.",True,N,high,HuDB suffix (DB) + database for transcriptomic data with URL,SysInflam HuDB,Systemic Inflammation Human Database
30208340,CCGD-ESCC: A Comprehensive Database for Genetic Variants Associated with Esophageal Squamous Cell Carcinoma in Chinese Population.,True,N,high,"'Database' keyword in title, houses genetic variant data",CCGD-ESCC,Comprehensive Database for Genetic Variants in Esophageal Squamous Cell Carcinoma
33938875,TBase - an Integrated Electronic Health Record and Research Database for Kidney Transplant Recipients.,False,N,high,TBase = Base suffix + 'database' keyword for health records,TBase,Kidney Transplant Research Database
27250555,"Vcfanno: fast, flexible annotation of genetic variants.",False,Y,high,Pure methodology tool for annotation without data repository,,
24564791,QTREDS: a Ruby on Rails-based platform for omics laboratories.,True,Y,high,Platform for laboratory management (tool) not a data repository,,
30526489,GOnet: a tool for interactive Gene Ontology analysis.,True,Y,high,"'Tool for' pattern indicates methodology, not data collection",,
25228549,LmTDRM database: a comprehensive database on thiol metabolic gene/gene products in Listeria monocytogenes EGDe.,True,N,high,"'Database' keyword twice, houses gene/gene product data",LmTDRM,Listeria monocytogenes Thiol and Disulfide Redox Metabolism database
30407545,"The Zebrafish Information Network: new support for non-coding genes, richer Gene Ontology annotations and the Alliance of Genome Resources.",True,N,high,Information network/database for zebrafish genetics with URL,ZFIN,Zebrafish Information Network
27189114,Wordbank: an open repository for developmental vocabulary data.,False,N,high,"'Repository' keyword + Bank suffix, stores developmental data",Wordbank,Developmental vocabulary data repository
26002883,pwOmics: an R package for pathway-based integration of time-series omics data using public database knowledge.,True,Y,high,R package for analysis (tool) not a database itself,,
32251504,MaveQuest: a web resource for planning experimental tests of human variant effects.,True,N,medium,"'Resource for' planning but contains experimental test data, has URL",MaveQuest,Multiplex Assay of Variant Effect Query Tool
