pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
26626150,MERAV: a tool for comparing gene expression across human tissues and cell types.,True,Y,high,Tool for comparing/analyzing data,,
30772429,VGSC2: Second generation vector graph toolkit of genome synteny and collinearity.,True,Y,high,Toolkit is a tool for visualization,,
25521507,cisMEP: an integrated repository of genomic epigenetic profiles and cis-regulatory modules in Drosophila.,False,N,high,Repository keyword indicates database,cisMEP,integrated repository of genomic epigenetic profiles
23209562,Wiki-pi: a web-server of annotated human protein-protein interactions to aid in discovery of protein function.,True,Y,high,Web server is a tool; no database suffix,,
30956140,exceRpt: A Comprehensive Analytic Platform for Extracellular RNA Profiling.,True,Y,high,Platform for analysis is a tool,,
27297497,VDJviz: a versatile browser for immunogenomics data.,False,Y,high,Browser tool; no URL strengthens false positive,,
26542446,EnzDP: improved enzyme annotation for metabolic network reconstruction based on domain composition profiles.,True,Y,high,Tool for annotation/reconstruction,,
25433696,LigDig: a web server for querying ligand-protein interactions.,True,Y,high,Web server for querying is a tool,,
34788279,MGEnrichment: A web application for microglia gene list enrichment analysis.,True,Y,high,Web application for analysis is a tool,,
27130330,G-DOC Plus - an integrative bioinformatics platform for precision medicine.,True,Y,high,Integration platform is a tool,,
29989146,PHYLACINE 1.2: The Phylogenetic Atlas of Mammal Macroecology.,False,N,high,Atlas keyword indicates database,PHYLACINE,Phylogenetic Atlas of Mammal Macroecology
27151202,CSM-lig: a web server for assessing and comparing protein-small molecule affinities.,True,Y,high,Web server for assessment is a tool,,
27651835,XMetDB: an open access database for xenobiotic metabolism.,False,N,high,DB suffix indicates database,XMetDB,xenobiotic metabolism database
23158523,"InSilico DB genomic datasets hub: an efficient starting point for analyzing genome-wide studies in GenePattern, Integrative Genomics Viewer, and R/Bioconductor.",True,N,high,DB suffix + hub indicates database,InSilico DB,InSilico genomic datasets database
23803467,GRN2SBML: automated encoding and annotation of inferred gene regulatory networks complying with SBML.,True,Y,high,Tool for encoding/annotation,,
29788413,ezTag: tagging biomedical concepts via interactive learning.,True,Y,high,Tool for tagging is methodology,,
32324217,MusiteDeep: a deep-learning based webserver for protein post-translational modification site prediction and visualization.,True,Y,high,Prediction tool methodology,,
