pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
31350561,"BioNorm: deep learning-based event normalization for the curation of reaction databases.",False,Y,high,"Methodology tool for data curation, not a database itself",,
32588040,"mAML: an automated machine learning pipeline with a microbiome repository for human disease classification.",True,Y,high,"Machine learning pipeline/tool, not primarily a data resource",,
22909249,"Bio.Phylo: a unified toolkit for processing, analyzing and visualizing phylogenetic trees in Biopython.",True,Y,high,"Toolkit for analysis, not a database",,
29070028,"riboviz: analysis and visualization of ribosome profiling datasets.",True,Y,high,"Analysis and visualization tool, not a database",,
29927076,The GWIPS-viz Browser.,False,Y,medium,"Browser tool without URL; likely visualization tool only",,
21653513,"FACIL: Fast and Accurate Genetic Code Inference and Logo.",True,Y,high,"Tool for inference, not a database",,
29186338,"Cpf1-Database: web-based genome-wide guide RNA library design for gene knockout screens using CRISPR-Cpf1.",True,N,high,"Database suffix overrides 'design' - houses guide RNA libraries",Cpf1-Database,CRISPR-Cpf1 Guide RNA Database
32703160,"BiPOm: a rule-based ontology to represent and infer molecule knowledge from a biological process-centered viewpoint.",False,Y,high,"Ontology system, not a data repository",,
29616063,"MorphDB: Prioritizing Genes for Specialized Metabolism Pathways and Gene Ontology Categories in Plants.",True,N,high,DB suffix indicates database,MorphDB,Morphology Database
26405458,"DAPPER: a data-mining resource for protein-protein interactions.",False,Y,medium,"Data-mining resource without URL; unclear if houses data",,
29086120,"QuBiLS-MAS, open source multi-platform software for atom- and bond-based topological (2D) and chiral (2.5D) algebraic molecular descriptors computations.",False,Y,high,"Software for computations, not a database",,
28460071,"Interactive microbial distribution analysis using BioAtlas.",True,N,high,"Atlas suffix indicates a data resource",BioAtlas,Biological Atlas
32785962,"The Repository Chemotion: Infrastructure for Sustainable Research in Chemistry*.",False,Y,medium,"Repository mentioned but lacks URL; infrastructure focus",,
32791200,"BMT: Bioinformatics mini toolbox for comprehensive DNA and protein analysis.",False,Y,high,"Toolbox for analysis, not a database",,
27655341,"Automating NEURON Simulation Deployment in Cloud Resources.",False,Y,high,"Automation tool, not a database",,
23091487,"CMD: A Database to Store the Bonding States of Cysteine Motifs with Secondary Structures.",False,N,medium,"Contains 'database' keyword but lacks URL; likely true database",CMD,Cysteine Motifs Database
31319888,"Shiny-Seq: advanced guided transcriptome analysis.",True,Y,high,"Analysis tool, not a database",,
