pmid,title,has_url,is_false_positive,confidence,reason
27924012,"L1Base 2: more retrotransposition-active LINE-1s, more mammalian genomes.",True,N,high,Database indicated by name pattern ending in 'Base' and has URL
25098325,MediaDB: a database of microbial growth conditions in defined media.,True,N,high,Title explicitly contains 'database' keyword
23497177,SymbioGBR: a web-based database of Symbiodinium associated with cnidarian hosts on the Great Barrier Reef.,True,N,high,Title explicitly contains 'database' keyword
31598695,MirGeneDB 2.0: the metazoan microRNA complement.,True,N,high,Database indicated by name pattern ending in 'DB' and has URL
31501752,ABCD: Alzheimer's disease Biomarkers Comprehensive Database.,True,N,high,Title explicitly contains 'Database' keyword
24223973,"SWEETLEAD: an in silico database of approved drugs, regulated chemicals, and herbal isolates for computer-aided drug discovery.",True,N,high,Title explicitly contains 'database' keyword
28577791,PlanTEnrichment: A tool for enrichment analysis of transposable elements in plants.,True,Y,high,Title contains 'tool for' pattern indicating methodology tool
30045691,CIGene: a literature-based online resource for cancer initiation genes.,True,N,high,Title contains 'resource' indicating data collection
28416714,JingleBells: A Repository of Immune-Related Single-Cell RNA-Sequencing Datasets.,True,N,high,Title explicitly contains 'Repository' keyword
21486466,OryzaPG-DB: rice proteome database based on shotgun proteogenomics.,True,N,high,Title explicitly contains 'database' keyword
32941628,"IDDB: a comprehensive resource featuring genes, variants and characteristics associated with infertility.",True,N,high,Database indicated by name pattern ending in 'DB' and described as resource
29112736,VarCards: an integrated genetic and clinical database for coding variants in the human genome.,True,N,high,Title explicitly contains 'database' keyword
32761141,SPDB: a specialized database and web-based analysis platform for swine pathogens.,True,N,high,Title explicitly contains 'database' keyword
24148649,snOPY: a small nucleolar RNA orthological gene database.,True,N,high,Title explicitly contains 'database' keyword
23252913,"GenomewidePDB, a proteomic database exploring the comprehensive protein parts list and transcriptome landscape in human chromosomes.",False,N,medium,Title explicitly contains 'database' but lacks URL which is concerning
30593925,"Macro-geographical specificities of the prevailing tuberculosis epidemic as seen through SITVIT2, an updated version of the Mycobacterium tuberculosis genotyping database.",True,N,high,Title explicitly contains 'database' keyword
27725737,circRNADb: A comprehensive database for human circular RNAs with protein-coding annotations.,True,N,high,Title explicitly contains 'database' keyword
22900683,HTRIdb: an open-access database for experimentally verified human transcriptional regulation interactions.,True,N,high,Title explicitly contains 'database' keyword
24336862,The Global Invertebrate Genomics Alliance (GIGA): developing community resources to study diverse invertebrate genomes.,True,N,medium,Title indicates community resources for data
"22135297, 29156006",TarBase 6.0: capturing the exponential growth of miRNA targets with experimental support.,True,N,high,Database indicated by name pattern ending in 'Base' and has URL
"22135293, 25348402",The Genomes OnLine Database (GOLD) v.4: status of genomic and metagenomic projects and their associated metadata.,True,N,high,Title explicitly contains 'Database' keyword
32338561,RadAtlas 1.0: a knowledgebase focusing on radiation-associated genes.,True,N,high,Title explicitly contains 'knowledgebase' keyword
27618709,DenHunt - A Comprehensive Database of the Intricate Network of Dengue-Human Interactions.,True,N,high,Title explicitly contains 'Database' keyword
29145625,mSignatureDB: a database for deciphering mutational signatures in human cancers.,True,N,high,Title explicitly contains 'database' keyword
"21258066, 26719120",TOMATOMA: a novel tomato mutant database distributing Micro-Tom mutant collections.,True,N,high,Title explicitly contains 'database' keyword
25361971,GeneFriends: a human RNA-seq-based gene and transcript co-expression database.,True,N,high,Title explicitly contains 'database' keyword
23153078,P2TF: a comprehensive resource for analysis of prokaryotic transcription factors.,True,N,high,Title contains 'resource' indicating data collection
29036351,miRandola 2017: a curated knowledge base of non-invasive biomarkers.,True,N,high,Title contains 'knowledge base' keyword
25432889,AlzBase: an Integrative Database for Gene Dysregulation in Alzheimer's Disease.,True,N,high,Title explicitly contains 'Database' keyword
23668932,The zebrafish CreZoo: an easy-to-handle database for novel CreER(T2)-driver lines.,True,N,high,Title explicitly contains 'database' keyword
23459781,The FoodCast research image database (FRIDa).,True,N,high,Title explicitly contains 'database' keyword
31665499,ReMap 2020: a database of regulatory regions from an integrative analysis of Human and Arabidopsis DNA-binding sequencing experiments.,True,N,high,Title explicitly contains 'database' keyword
"23060735, 23109552, 23630246, 31691833",MetaboLights: towards a new COSMOS of metabolomics data management.,True,N,medium,Describes data management resource with URL
30371822,MatrixDB: integration of new data with a focus on glycosaminoglycan interactions.,True,N,high,Database indicated by name pattern ending in 'DB' and has URL
21410407,GRIPDB - G protein coupled Receptor Interaction Partners DataBase.,True,N,high,Title explicitly contains 'DataBase' keyword
23764453,BDgene: a genetic database for bipolar disorder and its overlap with schizophrenia and major depressive disorder.,True,N,high,Title explicitly contains 'database' keyword
33729437,Tumor IsomiR Encyclopedia (TIE): a pan-cancer database of miRNA isoforms.,True,N,high,Title explicitly contains 'database' keyword
27907895,mutLBSgeneDB: mutated ligand binding site gene DataBase.,True,N,high,Title explicitly contains 'DataBase' keyword
31702846,ConSurf-DB: An accessible repository for the evolutionary conservation patterns of the majority of PDB proteins.,True,N,high,Title explicitly contains 'repository' keyword
24771658,RegPhos 2.0: an updated resource to explore protein kinase-substrate phosphorylation networks in mammals.,True,N,high,Title contains 'resource' indicating data collection
22053087,MimoDB 2.0: a mimotope database and beyond.,True,N,high,Title explicitly contains 'database' keyword
"21906294, 25378341",diArk 2.0 provides detailed analyses of the ever increasing eukaryotic genome sequencing data.,True,N,medium,Provides access to genome sequencing data with URL
24271398,NeXO Web: the NeXO ontology database and visualization platform.,True,N,high,Title explicitly contains 'database' keyword
27616775,PGD: a pangolin genome hub for the research community.,True,N,high,Title indicates genome hub (data resource) with URL
21980353,pubmed2ensembl: a resource for mining the biological literature on genes.,False,Y,high,Describes mining tool and lacks URL indicating no hosted data
