pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
34690515,"The InBIO Barcoding Initiative Database: DNA barcodes of Portuguese Diptera 02 - Limoniidae, Pediciidae and Tipulidae.",False,N,high,Contains "database" and describes a DNA barcoding resource,InBIO Barcoding Initiative Database,InBIO Barcoding Initiative Database
28057682,"phyloSkeleton: taxon selection, data retrieval and marker identification for phylogenomics.",False,Y,high,Tool for taxon selection and data retrieval - methodology focused,,
24858450,Taxonomic database and cut-off value for processing mcrA gene 454 pyrosequencing data by MOTHUR.,False,Y,high,"About processing data using a tool, not describing a database resource",,
22836712,A comparative cellular and molecular biology of longevity database.,True,N,high,Title explicitly contains "database",comparative cellular and molecular biology of longevity database,comparative cellular and molecular biology of longevity database
27542845,"The Markyt visualisation, prediction and benchmark platform for chemical and gene entity recognition at BioCreative/CHEMDNER challenge.",True,Y,high,"Platform for prediction/recognition - methodology tool, not data repository",,
25521334,SG-ADVISER CNV: copy-number variant annotation and interpretation.,True,Y,high,Tool for annotation and interpretation - methodology focused,,
31460713,[Musculoskeletal System Anatomic Database Software Applied to the Internet].,False,Y,medium,"Software for database application, not the database itself",,
25536338,Neuroinformatics of the Allen Mouse Brain Connectivity Atlas.,True,N,high,"Atlas indicating data collection, has URL",Allen Mouse Brain Connectivity Atlas,Allen Mouse Brain Connectivity Atlas
33619257,Uniform genomic data analysis in the NCI Genomic Data Commons.,True,N,high,"Data Commons - houses genomic data, has URL",NCI Genomic Data Commons,NCI Genomic Data Commons
29363422,Construction of Pará rubber tree genome and multi-transcriptome database accelerates rubber researches.,True,N,high,Title explicitly contains "database" and has URL,Pará rubber tree genome and multi-transcriptome database,Pará rubber tree genome and multi-transcriptome database
33704425,DCI: learning causal differences between gene regulatory networks.,True,Y,high,Method for learning causal differences - methodology focused,,
29864529,cryoem-cloud-tools: A software platform to deploy and manage cryo-EM jobs in the cloud.,True,Y,high,"Software platform for job management, not a data repository",,
28053117,GB3.0: a platform for plant bio-design that connects functional DNA elements with associated biological data.,False,N,medium,"Platform for bio-design that connects data - appears to house data, version number suggests database",GB3.0,GB3.0
22491036,Modeling protein evolution with several amino acid replacement matrices depending on site rates.,True,Y,high,Methodology for modeling protein evolution,,
20927658,Human protein reference database and human proteinpedia as discovery resources for molecular biotechnology.,False,Y,medium,"Review/discussion of databases as resources, not describing the database itself",,
26475472,A space-time analysis of the WikiLeaks Afghan War Diary: a resource for analyzing the conflict-health nexus.,False,Y,high,Analysis study using data - not describing a bioresource database,,
27654850,Species From Feces: Order-Wide Identification of Chiroptera From Guano and Other Non-Invasive Genetic Samples.,True,Y,high,Method for identification from samples - methodology focused,,
22676320,Quartet decomposition server: a platform for analyzing phylogenetic trees.,True,Y,high,"Platform for analyzing trees - analysis tool, not data repository",,
26776198,PRISM: A DATA-DRIVEN PLATFORM FOR MONITORING MENTAL HEALTH.,False,Y,high,Platform for monitoring - analysis/monitoring tool,,
