pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
27924012,"L1Base 2: more retrotransposition-active LINE-1s, more mammalian genomes.",True,N,high,Base suffix + database keyword,L1Base,L1Base
25098325,MediaDB: a database of microbial growth conditions in defined media.,True,N,high,DB suffix + database keyword,MediaDB,MediaDB
23497177,SymbioGBR: a web-based database of Symbiodinium associated with cnidarian hosts on the Great Barrier Reef.,True,N,high,Database keyword in title,SymbioGBR,SymbioGBR
31598695,MirGeneDB 2.0: the metazoan microRNA complement.,True,N,high,DB suffix + database keyword,MirGeneDB,MirGeneDB
31501752,ABCD: Alzheimer's disease Biomarkers Comprehensive Database.,True,N,high,Database keyword in title,ABCD,Alzheimer's disease Biomarkers Comprehensive Database
24223973,"SWEETLEAD: an in silico database of approved drugs, regulated chemicals, and herbal isolates for computer-aided drug discovery.",True,N,high,Database keyword in title,SWEETLEAD,SWEETLEAD
28577791,PlanTEnrichment: A tool for enrichment analysis of transposable elements in plants.,True,Y,high,Tool for analysis, not a database,,"
30045691,CIGene: a literature-based online resource for cancer initiation genes.,True,N,high,Database keyword in title,CIGene,CIGene
28416714,JingleBells: A Repository of Immune-Related Single-Cell RNA-Sequencing Datasets.,True,N,high,Repository keyword in title,JingleBells,JingleBells
21486466,OryzaPG-DB: rice proteome database based on shotgun proteogenomics.,True,N,high,DB suffix + database keyword,OryzaPG-DB,OryzaPG-DB
32941628,"IDDB: a comprehensive resource featuring genes, variants and characteristics associated with infertility.",True,N,high,DB suffix + database keyword,IDDB,IDDB
29112736,VarCards: an integrated genetic and clinical database for coding variants in the human genome.,True,N,high,Database keyword in title,VarCards,VarCards
32761141,SPDB: a specialized database and web-based analysis platform for swine pathogens.,True,N,high,DB suffix + database keyword,SPDB,SPDB
24148649,snOPY: a small nucleolar RNA orthological gene database.,True,N,high,Database keyword in title,snOPY,snOPY
