pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
26059717,BUSCO: assessing genome assembly and annotation completeness with single-copy orthologs.,True,Y,high,Tool for assessing genome assemblies not a data repository,,
28379299,Fuento: functional enrichment for bioinformatics.,False,Y,high,Methodology tool for functional enrichment analysis no URL,,
25490885,Finding gene regulatory network candidates using the gene expression knowledge base.,False,Y,high,Paper about USING existing knowledge base not describing the resource itself,,
25601846,Warsaw set of emotional facial expression pictures: a validation study of facial display photographs.,True,N,high,Dataset/resource of emotional facial expression photographs,WSEFEP,Warsaw Set of Emotional Facial Expression Pictures
23651452,Reconstituting protein interaction networks using parameter-dependent domain-domain interactions.,True,Y,high,Methodology for reconstructing networks not a data repository,,
21398667,GeCo++: a C++ library for genomic features computation and annotation in the presence of variants.,True,Y,high,Software library not a data repository,,
27587689,SWORD-a highly efficient protein database search.,False,Y,high,Tool for database searching not a database itself,,
31924160,LDpop: an interactive online tool to calculate and visualize geographic LD patterns.,True,Y,high,Computational tool not a data repository,,
34252246,Exploring Curated Conformational Ensembles of Intrinsically Disordered Proteins in the Protein Ensemble Database.,True,N,high,Paper about exploring/using Protein Ensemble Database,PED,Protein Ensemble Database
28839186,An integrated bioinformatics platform for investigating the human E3 ubiquitin ligase-substrate interaction network.,True,N,high,Platform that houses E3 ubiquitin ligase interaction data,UbiBrowser,E3 Ubiquitin Ligase-Substrate Interaction Network
31562822,The Clinical Pharmacogenetics Implementation Consortium: 10 Years Later.,True,N,high,Describes PharmGKB resource,PharmGKB,Pharmacogenomics Knowledgebase
27975283,TMT One-Stop Shop: From Reliable Sample Preparation to Computational Analysis Platform.,False,Y,high,Analysis platform/methodology not a data repository,,
21609966,Data mining using the Catalogue of Somatic Mutations in Cancer BioMart.,True,Y,high,Paper about USING COSMIC database not describing the resource,,
32493955,WilsonGen a comprehensive clinically annotated genomic variant resource for Wilson's Disease.,True,N,high,Genomic variant resource for Wilson's Disease,WilsonGen,Wilson's Disease Genomic Variant Resource
23198982,"16(th) IHIW: extending the number of resources and bioinformatics analysis for the investigation of HLA rare alleles.",True,N,medium,Resource for HLA allele frequencies,AFND,Allele Frequency Net Database
31664032,"The SCOC database, a large, open, and global database with sediment community oxygen consumption rates.",False,N,high,Database keyword and describes data collection,SCOC,Sediment Community Oxygen Consumption Database
21782820,Dana-Farber repository for machine learning in immunology.,True,N,high,Repository for immunology data,DFRMLI,Dana-Farber Repository for Machine Learning in Immunology
22843985,TMBB-DB: a transmembrane β-barrel proteome database.,True,N,high,DB suffix indicates database,TMBB-DB,Transmembrane Beta-Barrel Proteome Database
25676813,The ARVD/C genetic variants database: 2014 update.,True,N,high,Database keyword and update version indicator,ARVD/C,Arrhythmogenic Right Ventricular Dysplasia/Cardiomyopathy Database
23823062,The SPECIES and ORGANISMS Resources for Fast and Accurate Identification of Taxonomic Names in Text.,True,N,high,Resource for taxonomic name identification,SPECIES,Species and Organisms Resources
27573308,Insight: An ontology-based integrated database and analysis platform for epilepsy self-management research.,False,Y,medium,Integration platform is a tool not a data repository,,
28181802,pmx Webserver: A User Friendly Interface for Alchemistry.,True,Y,high,Web server tool for computational methods not a database,,
