pmid,title,has_url,is_false_positive,confidence,reason,database_name,long_database_name
"24163257, 30335138, 25939429, 27899677, 28365740",The mouse Gene Expression Database (GXD): 2014 update.,True,N,high,Database keyword in title,GXD,Gene Expression Database
"21063943, 23203882, 22040741, 22434838, 25904633, 26527722, 30395289","PRIDE and ""Database on Demand"" as valuable tools for computational proteomics.",True,N,high,Database keyword in title,PRIDE,PRIDE
"22075990, 25348401, 30407599, 33231642, 27899570, 29092072",The Mouse Genome Database (MGD): comprehensive resource for genetics and genomics of the laboratory mouse.,True,N,high,Database keyword in title,MGD,Mouse Genome Database
"27261064, 27987171, 29069403",A Collection of Conserved Noncoding Sequences to Study Gene Regulation in Flowering Plants.,True,N,medium,Repository keyword in title,,Collection of Conserved Noncoding Sequences
"22103613, 29474005, 23824865, 34387941",From pharmacogenomic knowledge acquisition to clinical applications: the PharmGKB as a clinical pharmacogenomic biomarker resource.,True,N,high,KB suffix + knowledge base,PharmGKB,Pharmacogenomics Knowledgebase
"23180793, 25048120, 25414341, 26826444, 29858800, 31641782, 31667505, 27899604",IPD--the Immuno Polymorphism Database.,True,N,high,Database keyword in title,IPD,Immuno Polymorphism Database
"25542617, 26919060","Mitochondrial Disease Sequence Data Resource (MSeqDR): a global grass-roots consortium to facilitate deposition, curation, annotation, and integrated analysis of genomic data for the mitochondrial disease clinical and research communities.",True,N,high,Repository/archive keyword in title,MSeqDR,Mitochondrial Disease Sequence Data Resource
"24931982, 25428361",GRASP: analysis of genotype-phenotype results from 1390 genome-wide association studies and corresponding open access database.,True,N,high,Database keyword in title,GRASP,Genome-Wide Repository of Associations Between SNPs and Phenotypes
"26432828, 26519406, 30407532","MaizeGDB update: new tools, data and interface for the maize model organism database.",True,N,high,Database keyword in title,MaizeGDB,Maize Genetics and Genomics Database
"26527727, 26980513, 26990993, 29126249, 31713622",ENCODE data at the ENCODE portal.,True,N,medium,Repository keyword in title,ENCODE,Encyclopedia of DNA Elements
"26673716, 33125078, 30357350",The Pfam protein families database: towards a more sustainable future.,True,N,high,Database keyword in title,Pfam,Protein Families Database
"21447597, 22102590, 23161681, 24253303, 27899622, 30395287, 33237286, 25348405, 26519399, 28025334",UniProt Knowledgebase: a hub of integrated protein data.,True,N,high,KB suffix + knowledge base,UniProt,Universal Protein Knowledgebase
"22064855, 27899612",YMDB: the Yeast Metabolome Database.,True,N,high,DB suffix + database keyword,YMDB,Yeast Metabolome Database
"28431131, 31612957",DNAproDB: an interactive tool for structural analysis of DNA-protein complexes.,True,N,high,DB suffix + database keyword,DNAproDB,DNA-Protein Database
"23155064, 29077942",MetalPDB: a database of metal sites in biological macromolecular structures.,True,N,high,DB suffix + database keyword,MetalPDB,Metal Protein Data Bank
"22554788, 23160412, 24234449, 31960022, 25398896, 26935103",Directly e-mailing authors of newly published papers encourages community curation.,True,N,medium,Database keyword in title,FlyBase,FlyBase
"22962312, 24150940, 26220709","DECIPHER: web-based, community resource for clinical interpretation of rare variants in developmental disorders.",True,N,medium,Repository keyword in title,DECIPHER,DatabasE of genomiC varIation and Phenotype in Humans using Ensembl Resources
"24225323, 27899627, 28968762, 29277864, 31667520","PATRIC, the bacterial bioinformatics database and analysis resource.",True,N,high,Database keyword in title,PATRIC,Pathosystems Resource Integration Center
"23734660, 33772585, 25300482",Query enhancement through the practical application of ontology: the IEDB and OBI.,True,N,high,DB suffix + database keyword,IEDB,Immune Epitope Database
"22700702, 23504016, 24175918",RegPrecise web services interface: programmatic access to the transcriptional regulatory interactions in bacteria reconstructed by comparative genomics.,True,N,medium,Database keyword in title,RegPrecise,RegPrecise
"22096230, 33136286, 26481357, 33211851",WikiPathways: building research communities on biological pathways.,True,N,medium,Database keyword in title,WikiPathways,WikiPathways
"24203711, 29126136",DrugBank 4.0: shedding new light on drug metabolism.,True,N,high,Bank suffix + database keyword,DrugBank,DrugBank
"29106664, 31665479",ProteomicsDB.,True,N,high,DB suffix + database keyword,ProteomicsDB,ProteomicsDB
"23193266, 27899616",The TissueNet database of human tissue protein-protein interactions.,True,N,high,Database keyword in title,TissueNet,TissueNet Database
"26519400, 26585406, 31423653",KEGG Bioinformatics Resource for Plant Genomics and Metabolomics.,True,N,medium,Repository keyword in title,KEGG,Kyoto Encyclopedia of Genes and Genomes
"25964630, 29220439",PsyGeNET: a knowledge platform on psychiatric disorders and their genes.,True,N,medium,Knowledge base keyword in title,PsyGeNET,PsyGeNET
"24311565, 29106611",mVOC: a database of microbial volatiles.,True,N,high,Database keyword in title,mVOC,microbial Volatile Organic Compounds database
"22140110, 30371825, 26400175",PubChem's BioAssay Database.,True,N,high,Database keyword in title,PubChem,PubChem BioAssay Database
"24316578, 25510495, 29112715, 30615123, 33270901, 26553804, 29220466",RefSeq microbial genomes database: new representation and annotation strategy.,True,N,high,Database keyword in title,RefSeq,Reference Sequence Database
"27404214, 32421310",ATLAS of Biochemistry: A Repository of All Possible Biochemical Reactions for Synthetic Biology and Metabolic Engineering Studies.,True,N,high,Atlas + repository keyword,ATLAS,ATLAS of Biochemistry
"26481356, 30407549",Lnc2Cancer: a manually curated database of experimentally supported lncRNAs associated with various human cancers.,True,N,high,Database keyword in title,Lnc2Cancer,Long Non-coding RNA to Cancer
"32393257, 32393257",MyoMiner: explore gene co-expression in normal and pathological muscle.,True,Y,medium,Tool for exploration not a database,MyoMiner,MyoMiner
"21989406, 24009883, 26434508","ExoCarta 2012: database of exosomal proteins, RNA and lipids.",True,N,high,Database keyword in title,ExoCarta,Exosome Cargo Database
"27451428, 32385526",SZDB: A Database for Schizophrenia Genetic Research.,True,N,high,DB suffix + database keyword,SZDB,Schizophrenia Database
"25425034, 30371818",piRBase: a web resource assisting piRNA functional study.,True,N,high,Base suffix + database keyword,piRBase,piRNA Base
"23674824, 25332398, 31836896",Elucidating human phosphatase-substrate networks.,True,N,medium,Database keyword in title,DEPOD,Dephosphorylation Database
"22096228, 26433225, 29788229, 24178028",SubtiWiki--a comprehensive community resource for the model organism Bacillus subtilis.,True,N,medium,Repository keyword in title,SubtiWiki,Subtilis Wiki
"24234438, 32248568, 27924022",Developments in FINDbase worldwide database for clinically relevant genomic variation allele frequencies.,True,N,high,Base suffix + database keyword,FINDbase,Frequency of INherited Disorders database
"24225320, 30357347",The Genome Database for Rosaceae (GDR): year 10 update.,True,N,high,Database keyword in title,GDR,Genome Database for Rosaceae
"26578592, 27899595, 30407594, 27193693","PANTHER version 10: expanded protein families and functions, and analysis tools.",True,N,high,Database keyword in title,PANTHER,Protein Analysis Through Evolutionary Relationships
"28011601, 30759212, 33242091",CSDB_GT: a new curated database on glycosyltransferases.,True,N,high,DB suffix + database keyword,CSDB_GT,Carbohydrate Structure Database Glycosyltransferases
"24185702, 29165593, 33539890",FunCoup 3.0: database of genome-wide functional coupling networks.,True,N,high,Database keyword in title,FunCoup,Functional Coupling
"21995777, 26589635","BRAD, the genetics and genomics database for Brassica plants.",True,N,high,Database keyword in title,BRAD,Brassica Database
"22127870, 24288371",The Pfam protein families database.,True,N,high,Database keyword in title,Pfam,Protein Families Database
"22135291, 25332395",Rhea--a manually curated resource of biochemical reactions.,True,N,medium,Repository keyword in title,Rhea,Rhea
"22139911, 25593349, 27899619, 31724716",neXtProt: a knowledge platform for human proteins.,True,N,medium,Knowledge base keyword in title,neXtProt,neXtProt
"23193264, 24259429, 29688360, 23193287, 25414350, 33196830",Database resources of the National Center for Biotechnology Information.,True,N,high,Database keyword in title,NCBI,National Center for Biotechnology Information
"23203871, 28782718, 30476243, 25352553, 27924014, 33237311","STRING v9.1: protein-protein interaction networks, with increased coverage and integration.",True,N,high,Database keyword in title,STRING,Search Tool for the Retrieval of Interacting Genes/Proteins
"22434842, 29126148",Tracking and coordinating an international curation effort for the CCDS Project.,True,N,medium,Database keyword in title,CCDS,Consensus Coding Sequence
"30265627, 33313778",VIPERdb: A Tool for Virus Research.,True,N,high,DB suffix + database keyword,VIPERdb,Virus Particle Explorer Database
"22075998, 23193274, 23448259",ENCODE whole-genome data in the UCSC Genome Browser: update 2012.,True,N,high,Database keyword in title,UCSC,University of California Santa Cruz Genome Browser
"22039152, 30835791",ProGlycProt: a repository of experimentally characterized prokaryotic glycoproteins.,True,N,high,Repository keyword in title,ProGlycProt,Prokaryotic Glycoprotein
"23193269, 27899624, 28968784, 31647104",MicroScope--an integrated microbial resource for the curation and comparative analysis of genomic and metabolic data.,True,N,medium,Repository keyword in title,MicroScope,MicroScope
"27794040, 30357420, 33152092",Genomes OnLine Database (GOLD) v.6: data updates and feature enhancements.,True,N,high,Database keyword in title,GOLD,Genomes OnLine Database
"21785142, 26888907, 26896847, 26980512, 27337980, 28365736, 31691826, 33137190",Ensembl BioMarts: a hub for data retrieval across taxonomic space.,True,N,medium,Database keyword in title,Ensembl,Ensembl
"23175615, 27903906, 29761457",EuPathDB: the eukaryotic pathogen database.,True,N,high,DB suffix + database keyword,EuPathDB,Eukaryotic Pathogen Database
"22067448, 26578559, 30395255",VFDB 2012 update: toward the genetic diversity and molecular evolution of bacterial virulence factors.,True,N,high,DB suffix + database keyword,VFDB,Virulence Factor Database
"29532461, 33074547","HpBase: A genome database of a sea urchin, Hemicentrotus pulcherrimus.",True,N,high,Base suffix + database keyword,HpBase,Hemicentrotus pulcherrimus Base
"22110036, 26578557, 33166388",LegumeIP: an integrative database for comparative genomics and transcriptomics of model legumes.,True,N,high,Database keyword in title,LegumeIP,Legume Information Portal
"22086958, 29126224, 25378318",DBTSS: DataBase of Transcriptional Start Sites progress report in 2012.,True,N,high,Database keyword in title,DBTSS,DataBase of Transcriptional Start Sites
"26582914, 29155946, 30664776",GPCRdb: an information system for G protein-coupled receptors.,True,N,high,DB suffix + database keyword,GPCRdb,G Protein-Coupled Receptor Database
"23192552, 26476454, 23193276, 31742321",Molecular network analysis of diseases and drugs in KEGG.,True,N,high,Database keyword in title,KEGG,Kyoto Encyclopedia of Genes and Genomes
"23203869, 30445541","SIFTS: Structure Integration with Function, Taxonomy and Sequences resource.",True,N,medium,Repository keyword in title,SIFTS,Structure Integration with Function Taxonomy and Sequences
"23180787, 25161662",SUBA3: a database for integrating experimentation and prediction to define the SUBcellular location of proteins in Arabidopsis.,True,N,high,Database keyword in title,SUBA,SUBcellular localization database for Arabidopsis proteins
"22110025, 23180790, 24194602, 26578571, 30357349, 33156332, 25477381, 31724722","The DNA Data Bank of Japan launches a new resource, the DDBJ Omics Archive of functional genomics experiments.",True,N,high,Bank + archive keyword,DDBJ,DNA Data Bank of Japan
"26612867, 33436076",The Dfam database of repetitive DNA families.,True,N,high,Database keyword in title,Dfam,DNA families database
"22006842, 23202522, 30593617",ViPR: an open bioinformatics database and analysis resource for virology research.,True,N,high,Database keyword in title,ViPR,Virus Pathogen Resource
"21543339, 22067452, 29069413, 24194605, 29761466",Methods and strategies for gene structure curation in WormBase.,True,N,high,Base suffix + database keyword,WormBase,WormBase
"22139925, 26615194",GWASdb: a database for human genetic variants identified by genome-wide association studies.,True,N,high,DB suffix + database keyword,GWASdb,Genome-Wide Association Study Database
"23161680, 27987169","TropGeneDB, the multi-tropical crop information system updated and extended.",True,N,high,DB suffix + database keyword,TropGeneDB,Tropical Gene Database
"22135294, 33196801",NONCODE v3.0: integrative annotation of long noncoding RNAs.,True,N,high,Database keyword in title,NONCODE,NONCODE
"29662024, 32679723","PKIDB: A Curated, Annotated and Updated Database of Protein Kinase Inhibitors in Clinical Trials.",True,N,high,DB suffix + database keyword,PKIDB,Protein Kinase Inhibitor Database
"23193273, 25378343","EPD and EPDnew, high-quality promoter resources in the next-generation sequencing era.",True,N,medium,Repository keyword in title,EPD,Eukaryotic Promoter Database
"22102576, 29059334",The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of pathway/genome databases.,True,N,high,Database keyword in title,MetaCyc,Metabolic Pathway Database
"22661649, 28453683, 32696355, 25361972",MobiDB: a comprehensive database of intrinsic protein disorder annotations.,True,N,high,DB suffix + database keyword,MobiDB,Mobile Disorder Database
"24009897, 25388151, 25704310",EVpedia: an integrated database of high-throughput data for systemic analyses of extracellular vesicles.,True,N,high,pedia suffix + database keyword,EVpedia,Extracellular Vesicle encyclopedia
"23203884, 26527724, 29220462, 23327937","RegulonDB v8.0: omics data sets, evolutionary conservation, regulatory phrases, cross-validated gold standards and more.",True,N,high,DB suffix + database keyword,RegulonDB,Regulon Database
"26476458, 33125071",GlyTouCan 1.0--The international glycan structure repository.,True,N,high,Repository keyword in title,GlyTouCan,Glycan Repository
"26516188, 30407591, 31583635",Integrated interactions database: tissue-specific view of the human and model organism interactomes.,True,N,high,Database keyword in title,IID,Integrated Interactions Database
"29036527, 31797049",iSyTE 2.0: a database for expression-based gene discovery in the eye.,True,N,high,Database keyword in title,iSyTE,integrated Systems Tool for Eye gene discovery
"26527729, 29140531, 30485709",sORFs.org: a repository of small ORFs identified by ribosome profiling.,True,N,high,Repository keyword in title,sORFs.org,small Open Reading Frames
