pmid,title,has_url,is_false_positive,confidence,reason
32028878,PlaPPISite: a comprehensive resource for plant protein-protein interaction sites.,True,N,high,Title contains 'resource' and describes a database for protein interaction sites.
28053167,PceRBase: a database of plant competing endogenous RNA.,True,N,high,Title explicitly names a database for RNA data.
24265220,CAMP: Collection of sequences and structures of antimicrobial peptides.,True,N,high,Title contains 'collection' and describes a curated data resource.
33237299,GreenPhylDB v5: a comparative pangenomic database for plant genomes.,True,N,high,Title explicitly names a database with version update.
24101916,FunGene: the functional gene pipeline and repository.,True,N,high,Title contains 'repository' indicating a data resource.
26298580,PPDB: A Tool for Investigation of Plants Physiology Based on Gene Ontology.,True,Y,medium,Title emphasizes 'tool for investigation' suggesting methodology focus.
33331653,DATAMAN: A global database of nitrous oxide and ammonia emission factors for excreta deposited by livestock and land-applied manure.,True,N,high,Title explicitly names a database.
31599331,"MSDB: a comprehensive, annotated database of microsatellites.",False,N,high,Title explicitly names a database; lack of URL may indicate update needed.
23547943,TRACER: a resource to study the regulatory architecture of the mouse genome.,True,N,high,Title contains 'resource' for studying genomic data.
22080511,ADHDgene: a genetic database for attention deficit hyperactivity disorder.,True,N,high,Title explicitly names a genetic database.
23411719,YY1TargetDB: an integral information resource for Yin Yang 1 target loci.,True,N,high,Title contains 'resource' and database name.
31612915,MIBiG 2.0: a repository for biosynthetic gene clusters of known function.,True,N,high,Title contains 'repository' indicating data storage.
29088455,HCMDB: the human cancer metastasis database.,True,N,high,Title explicitly names a database.
27899646,FAIRDOMHub: a repository and collaboration environment for sharing systems biology research.,True,N,high,Title contains 'repository' for data sharing.
30365027,"gcMeta: a Global Catalogue of Metagenomics platform to support the archiving, standardization and analysis of microbiome data.",True,N,high,Title describes a catalogue/platform for data archiving.
33190914,DEDuCT 2.0: An updated knowledgebase and an exploration of the current regulations and guidelines from the perspective of endocrine disrupting chemicals.,False,N,medium,Title contains 'knowledgebase' indicating data resource despite no URL.
33313674,"ColorCells: a database of expression, classification and functions of lncRNAs in single cells.",True,N,high,Title explicitly names a database.
25484339,DISEASES: text mining and data integration of disease-gene associations.,True,N,high,Title indicates data integration resource with database characteristics.
27484196,iLIR database: A web resource for LIR motif-containing proteins in eukaryotes.,True,N,high,Title explicitly names a database.
